Times,Fold,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan,,,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC
0,1,SVM,SVM,1,0.033333333,0.182574186,0.064516129,0.838888889,0.516666667,"[[300   0]
 [ 58   2]]",,,SVM,SVM,0.998,0.04,0.190428486,0.075160459,0.838333333,0.519
0,1,WSVM,WSVM,0.946666667,0.35,0.575615612,0.432989691,0.847222222,0.648333333,"[[284  16]
 [ 39  21]]",,,WSVM,WSVM,0.924666667,0.396666667,0.599881731,0.441460693,0.836666667,0.660666667
0,1,own_class_center,lin_center_own,0.906666667,0.566666667,0.716782936,0.557377049,0.85,0.736666667,"[[272  28]
 [ 26  34]]",,,own_class_center,lin_center_own,0.768,0.633333333,0.665686191,0.459462034,0.745555556,0.700666667
0,1,own_class_center,exp,0.59,1,0.768114575,0.49382716,0.658333333,0.795,"[[177 123]
 [  0  60]]",,,own_class_center,exp,0.640666667,0.803333333,0.683308772,0.437915263,0.667777778,0.722
0,1,estimated_hyper_lin,lin_center_own,0.903333333,0.583333333,0.725909391,0.564516129,0.85,0.743333333,"[[271  29]
 [ 25  35]]",,,estimated_hyper_lin,lin_center_own,0.762666667,0.653333333,0.677801468,0.469155677,0.744444444,0.708
0,1,estimated_hyper_lin,exp,0.896666667,0.616666667,0.743602343,0.578125,0.85,0.756666667,"[[269  31]
 [ 23  37]]",,,estimated_hyper_lin,exp,0.840666667,0.543333333,0.653067549,0.463957456,0.791111111,0.692
0,1,actual_hyper_lin,lin_center_own,0.59,1,0.768114575,0.49382716,0.658333333,0.795,"[[177 123]
 [  0  60]]",,,actual_hyper_lin,lin_center_own,0.574666667,0.926666667,0.729382647,0.457934929,0.633333333,0.750666667
0,1,actual_hyper_lin,exp,0.903333333,0.616666667,0.746361545,0.587301587,0.855555556,0.76,"[[271  29]
 [ 23  37]]",,,actual_hyper_lin,exp,0.896666667,0.526666667,0.683062127,0.511179756,0.835,0.711666667
0,1,distance_center_own_opposite_tam,func_own_opp_new,0.9,0.633333333,0.754983444,0.59375,0.855555556,0.766666667,"[[270  30]
 [ 22  38]]",,,distance_center_own_opposite_tam,func_own_opp_new,0.893333333,0.553333333,0.700322858,0.527623475,0.836666667,0.723333333
0,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.9,0.65,0.764852927,0.604651163,0.858333333,0.775,"[[270  30]
 [ 21  39]]",,,distance_center_own_opposite_tam,func_own_opp_new_v1,0.894666667,0.546666667,0.696708604,0.525230568,0.836666667,0.720666667
0,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.9,0.65,0.764852927,0.604651163,0.858333333,0.775,"[[270  30]
 [ 21  39]]",,,distance_center_own_opposite_tam,func_own_opp_new_v2,0.894666667,0.546666667,0.696708604,0.525230568,0.836666667,0.720666667
0,2,SVM,SVM,1,0.016666667,0.129099445,0.032786885,0.836111111,0.508333333,"[[300   0]
 [ 59   1]]",,,,,,,,,,
0,2,WSVM,WSVM,0.923333333,0.3,0.526307895,0.356435644,0.819444444,0.611666667,"[[277  23]
 [ 42  18]]",,,,,,,,,,
0,2,own_class_center,lin_center_own,0.94,0.366666667,0.587083185,0.44,0.844444444,0.653333333,"[[282  18]
 [ 38  22]]",,,,,,,,,,
0,2,own_class_center,exp,0.956666667,0.283333333,0.52062996,0.377777778,0.844444444,0.62,"[[287  13]
 [ 43  17]]",,,,,,,,,,
0,2,estimated_hyper_lin,lin_center_own,0.94,0.383333333,0.600277714,0.455445545,0.847222222,0.661666667,"[[282  18]
 [ 37  23]]",,,,,,,,,,
0,2,estimated_hyper_lin,exp,0.93,0.433333333,0.63482281,0.485981308,0.847222222,0.681666667,"[[279  21]
 [ 34  26]]",,,,,,,,,,
0,2,actual_hyper_lin,lin_center_own,0.626666667,0.9,0.750999334,0.477876106,0.672222222,0.763333333,"[[188 112]
 [  6  54]]",,,,,,,,,,
0,2,actual_hyper_lin,exp,0.923333333,0.45,0.644592895,0.490909091,0.844444444,0.686666667,"[[277  23]
 [ 33  27]]",,,,,,,,,,
0,2,distance_center_own_opposite_tam,func_own_opp_new,0.923333333,0.466666667,0.656421274,0.504504505,0.847222222,0.695,"[[277  23]
 [ 32  28]]",,,,,,,,,,
0,2,distance_center_own_opposite_tam,func_own_opp_new_v1,0.933333333,0.433333333,0.635959468,0.490566038,0.85,0.683333333,"[[280  20]
 [ 34  26]]",,,,,,,,,,
0,2,distance_center_own_opposite_tam,func_own_opp_new_v2,0.933333333,0.433333333,0.635959468,0.490566038,0.85,0.683333333,"[[280  20]
 [ 34  26]]",,,,,,,,,,
0,3,SVM,SVM,1,0.05,0.223606798,0.095238095,0.841666667,0.525,"[[300   0]
 [ 57   3]]",,,,,,,,,,
0,3,WSVM,WSVM,0.916666667,0.616666667,0.751849571,0.606557377,0.866666667,0.766666667,"[[275  25]
 [ 23  37]]",,,,,,,,,,
0,3,own_class_center,lin_center_own,0.573333333,0.916666667,0.724952106,0.452674897,0.630555556,0.745,"[[172 128]
 [  5  55]]",,,,,,,,,,
0,3,own_class_center,exp,0.573333333,0.916666667,0.724952106,0.452674897,0.630555556,0.745,"[[172 128]
 [  5  55]]",,,,,,,,,,
