Times,Fold,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan,,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC
0,1,SVM,SVM,0.995833333,0.25,0.498957246,0.394736842,0.846666667,0.622916667,"[[239   1]
 [ 45  15]]",,SVM,SVM,0.985,0.293333333,0.536513268,0.433136753,0.846666667,0.639166667
0,1,WSVM,WSVM,0.991666667,0.35,0.589137788,0.506024096,0.863333333,0.670833333,"[[238   2]
 [ 39  21]]",,WSVM,WSVM,0.965833333,0.52,0.705461742,0.623020979,0.876666667,0.742916667
0,1,own_class_center,lin_center_own,0.895833333,0.516666667,0.68032876,0.534482759,0.82,0.70625,"[[215  25]
 [ 29  31]]",,own_class_center,lin_center_own,0.874166667,0.58,0.710307662,0.554830926,0.815333333,0.727083333
0,1,own_class_center,exp,0.875,0.55,0.693721846,0.536585366,0.81,0.7125,"[[210  30]
 [ 27  33]]",,own_class_center,exp,0.859166667,0.603333333,0.718811392,0.555753045,0.808,0.73125
0,1,estimated_hyper_lin,lin_center_own,0.895833333,0.516666667,0.68032876,0.534482759,0.82,0.70625,"[[215  25]
 [ 29  31]]",,estimated_hyper_lin,lin_center_own,0.884166667,0.6,0.727130638,0.580066239,0.827333333,0.742083333
0,1,estimated_hyper_lin,exp,0.891666667,0.533333333,0.689605362,0.542372881,0.82,0.7125,"[[214  26]
 [ 28  32]]",,estimated_hyper_lin,exp,0.868333333,0.606666667,0.724768456,0.567753359,0.816,0.7375
0,1,actual_hyper_lin,lin_center_own,0.975,0.033333333,0.180277564,0.058823529,0.786666667,0.504166667,"[[234   6]
 [ 58   2]]",,actual_hyper_lin,lin_center_own,0.99,0.03,0.149539957,0.054877766,0.798,0.51
0,1,actual_hyper_lin,exp,0.8375,0.6,0.708872344,0.533333333,0.79,0.71875,"[[201  39]
 [ 24  36]]",,actual_hyper_lin,exp,0.845,0.643333333,0.735672038,0.568180636,0.804666667,0.744166667
0,1,distance_center_own_opposite_tam,func_own_opp_new,0.8625,0.566666667,0.699106573,0.535433071,0.803333333,0.714583333,"[[207  33]
 [ 26  34]]",,distance_center_own_opposite_tam,func_own_opp_new,0.8575,0.613333333,0.723310602,0.560632515,0.808666667,0.735416667
0,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.895833333,0.516666667,0.68032876,0.534482759,0.82,0.70625,"[[215  25]
 [ 29  31]]",,distance_center_own_opposite_tam,func_own_opp_new_v1,0.885,0.593333333,0.723445954,0.57650091,0.826666667,0.739166667
0,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.895833333,0.516666667,0.68032876,0.534482759,0.82,0.70625,"[[215  25]
 [ 29  31]]",,distance_center_own_opposite_tam,func_own_opp_new_v2,0.885,0.593333333,0.723445954,0.57650091,0.826666667,0.739166667
0,2,SVM,SVM,1,0.333333333,0.577350269,0.5,0.866666667,0.666666667,"[[240   0]
 [ 40  20]]",,,,,,,,,
0,2,WSVM,WSVM,0.966666667,0.566666667,0.74012011,0.666666667,0.886666667,0.766666667,"[[232   8]
 [ 26  34]]",,,,,,,,,
0,2,own_class_center,lin_center_own,0.866666667,0.583333333,0.7110243,0.551181102,0.81,0.725,"[[208  32]
 [ 25  35]]",,,,,,,,,
0,2,own_class_center,exp,0.845833333,0.65,0.741479377,0.573529412,0.806666667,0.747916667,"[[203  37]
 [ 21  39]]",,,,,,,,,
0,2,estimated_hyper_lin,lin_center_own,0.866666667,0.616666667,0.731057073,0.573643411,0.816666667,0.741666667,"[[208  32]
 [ 23  37]]",,,,,,,,,
0,2,estimated_hyper_lin,exp,0.854166667,0.633333333,0.735508139,0.571428571,0.81,0.74375,"[[205  35]
 [ 22  38]]",,,,,,,,,
0,2,actual_hyper_lin,lin_center_own,0.979166667,0.033333333,0.180662362,0.059701493,0.79,0.50625,"[[235   5]
 [ 58   2]]",,,,,,,,,
0,2,actual_hyper_lin,exp,0.804166667,0.65,0.722985708,0.534246575,0.773333333,0.727083333,"[[193  47]
 [ 21  39]]",,,,,,,,,
0,2,distance_center_own_opposite_tam,func_own_opp_new,0.816666667,0.616666667,0.709655629,0.524822695,0.776666667,0.716666667,"[[196  44]
 [ 23  37]]",,,,,,,,,
0,2,distance_center_own_opposite_tam,func_own_opp_new_v1,0.866666667,0.583333333,0.7110243,0.551181102,0.81,0.725,"[[208  32]
 [ 25  35]]",,,,,,,,,
0,2,distance_center_own_opposite_tam,func_own_opp_new_v2,0.866666667,0.583333333,0.7110243,0.551181102,0.81,0.725,"[[208  32]
 [ 25  35]]",,,,,,,,,
0,3,SVM,SVM,0.966666667,0.333333333,0.567646212,0.454545455,0.84,0.65,"[[232   8]
 [ 40  20]]",,,,,,,,,
0,3,WSVM,WSVM,0.95,0.55,0.722841615,0.628571429,0.87,0.75,"[[228  12]
 [ 27  33]]",,,,,,,,,
0,3,own_class_center,lin_center_own,0.879166667,0.633333333,0.746194047,0.598425197,0.83,0.75625,"[[211  29]
 [ 22  38]]",,,,,,,,,
0,3,own_class_center,exp,0.866666667,0.6,0.721110255,0.5625,0.813333333,0.733333333,"[[208  32]
 [ 24  36]]",,,,,,,,,
0,3,estimated_hyper_lin,lin_center_own,0.883333333,0.65,0.757737861,0.614173228,0.836666667,0.766666667,"[[212  28]
 [ 21  39]]",,,,,,,,,
0,3,estimated_hyper_lin,exp,0.879166667,0.633333333,0.746194047,0.598425197,0.83,0.75625,"[[211  29]
 [ 22  38]]",,,,,,,,,
0,3,actual_hyper_lin,lin_center_own,0.995833333,0.066666667,0.257660414,0.123076923,0.81,0.53125,"[[239   1]
 [ 56   4]]",,,,,,,,,
0,3,actual_hyper_lin,exp,0.8875,0.683333333,0.778754347,0.640625,0.846666667,0.785416667,"[[213  27]
 [ 19  41]]",,,,,,,,,
0,3,distance_center_own_opposite_tam,func_own_opp_new,0.8875,0.65,0.759522877,0.619047619,0.84,0.76875,"[[213  27]
 [ 21  39]]",,,,,,,,,
0,3,distance_center_own_opposite_tam,func_own_opp_new_v1,0.883333333,0.65,0.757737861,0.614173228,0.836666667,0.766666667,"[[212  28]
 [ 21  39]]",,,,,,,,,
0,3,distance_center_own_opposite_tam,func_own_opp_new_v2,0.883333333,0.65,0.757737861,0.614173228,0.836666667,0.766666667,"[[212  28]
 [ 21  39]]",,,,,,,,,
0,4,SVM,SVM,1,0.266666667,0.516397779,0.421052632,0.853333333,0.633333333,"[[240   0]
 [ 44  16]]",,,,,,,,,
0,4,WSVM,WSVM,0.966666667,0.55,0.729154762,0.653465347,0.883333333,0.758333333,"[[232   8]
 [ 27  33]]",,,,,,,,,
0,4,own_class_center,lin_center_own,0.879166667,0.483333333,0.651866977,0.491525424,0.8,0.68125,"[[211  29]
 [ 31  29]]",,,,,,,,,
0,4,own_class_center,exp,0.875,0.533333333,0.683130051,0.524590164,0.806666667,0.704166667,"[[210  30]
 [ 28  32]]",,,,,,,,,
0,4,estimated_hyper_lin,lin_center_own,0.891666667,0.533333333,0.689605362,0.542372881,0.82,0.7125,"[[214  26]
 [ 28  32]]",,,,,,,,,
0,4,estimated_hyper_lin,exp,0.866666667,0.55,0.690410506,0.528,0.803333333,0.708333333,"[[208  32]
 [ 27  33]]",,,,,,,,,
0,4,actual_hyper_lin,lin_center_own,1,0.016666667,0.129099445,0.032786885,0.803333333,0.508333333,"[[240   0]
 [ 59   1]]",,,,,,,,,
0,4,actual_hyper_lin,exp,0.875,0.533333333,0.683130051,0.524590164,0.806666667,0.704166667,"[[210  30]
 [ 28  32]]",,,,,,,,,
0,4,distance_center_own_opposite_tam,func_own_opp_new,0.883333333,0.5,0.664580068,0.508474576,0.806666667,0.691666667,"[[212  28]
 [ 30  30]]",,,,,,,,,
0,4,distance_center_own_opposite_tam,func_own_opp_new_v1,0.895833333,0.533333333,0.691214712,0.547008547,0.823333333,0.714583333,"[[215  25]
 [ 28  32]]",,,,,,,,,
0,4,distance_center_own_opposite_tam,func_own_opp_new_v2,0.895833333,0.533333333,0.691214712,0.547008547,0.823333333,0.714583333,"[[215  25]
 [ 28  32]]",,,,,,,,,
0,5,SVM,SVM,0.9625,0.283333333,0.522214834,0.395348837,0.826666667,0.622916667,"[[231   9]
 [ 43  17]]",,,,,,,,,
0,5,WSVM,WSVM,0.954166667,0.583333333,0.746054437,0.660377358,0.88,0.76875,"[[229  11]
 [ 25  35]]",,,,,,,,,
0,5,own_class_center,lin_center_own,0.85,0.683333333,0.762124224,0.598540146,0.816666667,0.766666667,"[[204  36]
 [ 19  41]]",,,,,,,,,
