Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC
SVM,SVM,1.0,0.004,0.024933890456690873,0.007784241142252777,0.8339999999999997,0.502
WSVM,WSVM,0.9695999999999999,0.13466666666666666,0.23425966213522315,0.1626388658528504,0.8304444444444443,0.5521333333333334
own_class_center,lin_center_own,0.8601333333333332,0.4673333333333333,0.6324146354740026,0.43105939669322874,0.7946666666666665,0.6637333333333332
own_class_center,exp,0.879066666666667,0.4493333333333334,0.625925397993689,0.43571560792717867,0.8074444444444445,0.6642
estimated_hyper_lin,lin_center_own,0.8565333333333333,0.4666666666666666,0.6306967863335605,0.4266920138865325,0.7915555555555557,0.6616
estimated_hyper_lin,exp,0.8572,0.47,0.6331114225540515,0.42915204837033305,0.7926666666666669,0.6636
actual_hyper_lin,lin_center_own,0.538,0.8766666666666666,0.6863481020203795,0.41895997100210886,0.5944444444444443,0.7073333333333334
actual_hyper_lin,exp,0.8594666666666665,0.4653333333333333,0.6307622656211506,0.42871513088216234,0.7937777777777778,0.6624
distance_center_own_opposite_tam,func_own_opp_new,0.8709333333333332,0.472,0.6390682934693497,0.4448197099245785,0.8044444444444445,0.6714666666666668
distance_center_own_opposite_tam,func_own_opp_new_v1,0.8590666666666665,0.4646666666666666,0.630308864145139,0.4281129612901641,0.7933333333333334,0.6618666666666667
distance_center_own_opposite_tam,func_own_opp_new_v2,0.8590666666666665,0.4646666666666666,0.630308864145139,0.4281129612901641,0.7933333333333334,0.6618666666666667
