Times,IR,Fold,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
0,0.2,1,SVM,SVM,1.0,0.0,0.0,0.0,0.8333333333333334,0.5,"[[50  0]
 [10  0]]"
0,0.2,1,WSVM,WSVM,0.94,0.6,0.7509993342207435,0.631578947368421,0.8833333333333333,0.77,"[[47  3]
 [ 4  6]]"
0,0.2,1,own_class_center,lin_center_own,0.9,0.6,0.7348469228349535,0.5714285714285713,0.85,0.7500000000000001,"[[45  5]
 [ 4  6]]"
0,0.2,1,own_class_center,exp,0.92,0.9,0.9099450532861861,0.7826086956521738,0.9166666666666666,0.91,"[[46  4]
 [ 1  9]]"
0,0.2,1,estimated_hyper_lin,lin_center_own,0.9,0.5,0.6708203932499369,0.5,0.8333333333333334,0.7000000000000001,"[[45  5]
 [ 5  5]]"
0,0.2,1,estimated_hyper_lin,exp,0.86,0.7,0.7758865896508329,0.5833333333333334,0.8333333333333334,0.78,"[[43  7]
 [ 3  7]]"
0,0.2,1,actual_hyper_lin,lin_center_own,1.0,0.0,0.0,0.0,0.8333333333333334,0.5,"[[50  0]
 [10  0]]"
0,0.2,1,actual_hyper_lin,exp,0.88,0.4,0.593295878967653,0.4000000000000001,0.8,0.64,"[[44  6]
 [ 6  4]]"
0,0.2,1,distance_center_own_opposite_tam,func_own_opp_new,0.86,0.4,0.5865151319446072,0.380952380952381,0.7833333333333333,0.63,"[[43  7]
 [ 6  4]]"
0,0.2,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.86,0.4,0.5865151319446072,0.380952380952381,0.7833333333333333,0.63,"[[43  7]
 [ 6  4]]"
0,0.2,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.86,0.4,0.5865151319446072,0.380952380952381,0.7833333333333333,0.63,"[[43  7]
 [ 6  4]]"
0,0.2,2,SVM,SVM,0.96,0.3,0.5366563145999496,0.4,0.85,0.63,"[[48  2]
 [ 7  3]]"
