Test Size,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
0.25,SVM,SVM,0.991111111,0.68,0.820947962,0.772727273,0.96,0.835555556,"[[223   2]
 [  8  17]]"
0.25,WSVM,WSVM,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
0.25,own_class_center,lin_center_own,0.964444444,0.76,0.856141214,0.730769231,0.944,0.862222222,"[[217   8]
 [  6  19]]"
0.25,own_class_center,exp,0.96,0.76,0.85416626,0.716981132,0.94,0.86,"[[216   9]
 [  6  19]]"
0.25,estimated_hyper_lin,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
0.25,estimated_hyper_lin,exp,0.96,0.76,0.85416626,0.716981132,0.94,0.86,"[[216   9]
 [  6  19]]"
0.25,actual_hyper_lin,lin_center_own,0.977777778,0.76,0.862038927,0.775510204,0.956,0.868888889,"[[220   5]
 [  6  19]]"
0.25,actual_hyper_lin,exp,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
0.25,distance_center_own_opposite_tam,func_own_opp_new,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
1,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
2,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
3,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
4,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
5,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
6,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
7,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
8,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
9,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
10,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
11,own_class_center,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
12,own_class_center,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
13,own_class_center,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
14,own_class_center,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
15,own_class_center,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
16,own_class_center,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
17,own_class_center,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
18,own_class_center,lin_center_own,0.968888889,0.76,0.858111622,0.745098039,0.948,0.864444444,"[[218   7]
 [  6  19]]"
19,own_class_center,lin_center_own,0.973333333,0.76,0.860077516,0.76,0.952,0.866666667,"[[219   6]
 [  6  19]]"
