Times,Fold,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
1,1,1,SVM,SVM,1.0,0.0,0.0,0.0,0.9663299663299664,0.5,"[[287   0]
 [ 10   0]]"
1,1,1,WSVM,WSVM,1.0,0.0,0.0,0.0,0.9663299663299664,0.5,"[[287   0]
 [ 10   0]]"
1,1,1,own_class_center,lin_center_own,1.0,0.0,0.0,0.0,0.9663299663299664,0.5,"[[287   0]
 [ 10   0]]"
1,1,1,own_class_center,exp,0.9512195121951219,0.6,0.7554678731204082,0.4,0.9393939393939394,0.775609756097561,"[[273  14]
 [  4   6]]"
1,1,1,estimated_hyper_lin,lin_center_own,1.0,0.0,0.0,0.0,0.9663299663299664,0.5,"[[287   0]
 [ 10   0]]"
1,1,1,estimated_hyper_lin,exp,0.9651567944250871,0.6,0.7609823103430541,0.4615384615384615,0.9528619528619529,0.7825783972125436,"[[277  10]
 [  4   6]]"
1,1,1,actual_hyper_lin,lin_center_own,0.9303135888501742,0.6,0.7471199055774813,0.33333333333333337,0.9191919191919192,0.7651567944250872,"[[267  20]
 [  4   6]]"
1,1,1,actual_hyper_lin,exp,0.9442508710801394,0.6,0.7526955046020161,0.37499999999999994,0.9326599326599326,0.7721254355400697,"[[271  16]
 [  4   6]]"
1,1,1,distance_center_own_opposite_tam,func_own_opp_new,0.9303135888501742,0.6,0.7471199055774813,0.33333333333333337,0.9191919191919192,0.7651567944250872,"[[267  20]
 [  4   6]]"
1,1,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.9651567944250871,0.6,0.7609823103430541,0.4615384615384615,0.9528619528619529,0.7825783972125436,"[[277  10]
 [  4   6]]"
1,1,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.7735191637630662,0.8,0.7866481621477628,0.19277108433734938,0.7744107744107744,0.7867595818815332,"[[222  65]
 [  2   8]]"
1,1,1,own_class_center,lin_center_own,1.0,0.0,0.0,0.0,0.9663299663299664,0.5,"[[287   0]
 [ 10   0]]"
1,1,1,own_class_center,exp,0.9477351916376306,0.7,0.814502691306997,0.4375,0.9393939393939394,0.8238675958188153,"[[272  15]
 [  3   7]]"
1,1,1,estimated_hyper_lin,lin_center_own,1.0,0.0,0.0,0.0,0.9663299663299664,0.5,"[[287   0]
 [ 10   0]]"
1,1,1,estimated_hyper_lin,exp,0.9651567944250871,0.6,0.7609823103430541,0.4615384615384615,0.9528619528619529,0.7825783972125436,"[[277  10]
 [  4   6]]"
1,1,1,actual_hyper_lin,lin_center_own,0.9303135888501742,0.6,0.7471199055774813,0.33333333333333337,0.9191919191919192,0.7651567944250872,"[[267  20]
 [  4   6]]"
1,1,1,actual_hyper_lin,exp,0.9303135888501742,0.6,0.7471199055774813,0.33333333333333337,0.9191919191919192,0.7651567944250872,"[[267  20]
 [  4   6]]"
1,1,1,distance_center_own_opposite_tam,func_own_opp_new,0.926829268292683,0.6,0.745719492152116,0.32432432432432434,0.9158249158249159,0.7634146341463416,"[[266  21]
 [  4   6]]"
1,1,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.9547038327526133,0.6,0.7568502491586879,0.41379310344827586,0.9427609427609428,0.7773519163763067,"[[274  13]
 [  4   6]]"
1,1,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.6585365853658537,0.9,0.7698590304914714,0.15384615384615383,0.6666666666666666,0.7792682926829267,"[[189  98]
 [  1   9]]"
1,2,1,SVM,SVM,1.0,0.0,0.0,0.0,0.9663299663299664,0.5,"[[287   0]
 [ 10   0]]"
1,2,1,WSVM,WSVM,1.0,0.0,0.0,0.0,0.9663299663299664,0.5,"[[287   0]
 [ 10   0]]"
1,2,1,own_class_center,lin_center_own,0.9651567944250871,0.5,0.6946786287288127,0.4,0.9494949494949495,0.7325783972125436,"[[277  10]
 [  5   5]]"
1,2,1,own_class_center,exp,0.9651567944250871,0.5,0.6946786287288127,0.4,0.9494949494949495,0.7325783972125436,"[[277  10]
 [  5   5]]"
1,2,1,estimated_hyper_lin,lin_center_own,0.9651567944250871,0.5,0.6946786287288127,0.4,0.9494949494949495,0.7325783972125436,"[[277  10]
 [  5   5]]"
1,2,1,estimated_hyper_lin,exp,0.9651567944250871,0.5,0.6946786287288127,0.4,0.9494949494949495,0.7325783972125436,"[[277  10]
 [  5   5]]"
1,2,1,actual_hyper_lin,lin_center_own,0.9581881533101045,0.5,0.6921662203943878,0.37037037037037035,0.9427609427609428,0.7290940766550523,"[[275  12]
 [  5   5]]"
1,2,1,actual_hyper_lin,exp,0.9616724738675958,0.5,0.6934235624304945,0.38461538461538464,0.9461279461279462,0.7308362369337978,"[[276  11]
 [  5   5]]"
1,2,1,distance_center_own_opposite_tam,func_own_opp_new,0.9616724738675958,0.4,0.620216889117862,0.32,0.9427609427609428,0.6808362369337978,"[[276  11]
 [  6   4]]"
1,2,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.9651567944250871,0.5,0.6946786287288127,0.4,0.9494949494949495,0.7325783972125436,"[[277  10]
 [  5   5]]"
1,2,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.41114982578397213,0.9,0.6083048932941235,0.09574468085106383,0.4276094276094276,0.655574912891986,"[[118 169]
 [  1   9]]"
1,2,1,own_class_center,lin_center_own,0.9651567944250871,0.5,0.6946786287288127,0.4,0.9494949494949495,0.7325783972125436,"[[277  10]
 [  5   5]]"
1,2,1,own_class_center,exp,0.9651567944250871,0.5,0.6946786287288127,0.4,0.9494949494949495,0.7325783972125436,"[[277  10]
 [  5   5]]"
1,2,1,estimated_hyper_lin,lin_center_own,0.9616724738675958,0.6,0.7596074540975474,0.4444444444444445,0.9494949494949495,0.7808362369337979,"[[276  11]
 [  4   6]]"
1,2,1,estimated_hyper_lin,exp,0.9616724738675958,0.6,0.7596074540975474,0.4444444444444445,0.9494949494949495,0.7808362369337979,"[[276  11]
 [  4   6]]"
1,2,1,actual_hyper_lin,lin_center_own,0.9581881533101045,0.5,0.6921662203943878,0.37037037037037035,0.9427609427609428,0.7290940766550523,"[[275  12]
 [  5   5]]"
1,2,1,actual_hyper_lin,exp,0.9651567944250871,0.6,0.7609823103430541,0.4615384615384615,0.9528619528619529,0.7825783972125436,"[[277  10]
 [  4   6]]"
1,2,1,distance_center_own_opposite_tam,func_own_opp_new,0.9616724738675958,0.4,0.620216889117862,0.32,0.9427609427609428,0.6808362369337978,"[[276  11]
 [  6   4]]"
1,2,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.9651567944250871,0.5,0.6946786287288127,0.4,0.9494949494949495,0.7325783972125436,"[[277  10]
 [  5   5]]"
1,2,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.8501742160278746,0.8,0.8247056279802507,0.2622950819672131,0.8484848484848485,0.8250871080139373,"[[244  43]
 [  2   8]]"
