Times,Fold,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
1,1,None,SVM,SVM,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,None,WSVM,WSVM,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,None,own_class_center,lin_center_own,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,None,own_class_center,exp,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,None,estimated_hyper_lin,lin_center_own,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,None,estimated_hyper_lin,exp,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,None,actual_hyper_lin,lin_center_own,0.593865031,0.095238095,0.237820467,0.011299435,0.581339713,0.344551563,"[[484 331]
 [ 19   2]]"
1,1,None,actual_hyper_lin,exp,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,None,distance_center_own_opposite_tam,func_own_opp_new_v2,0.571779141,0.857142857,0.700068859,0.092783505,0.578947368,0.714460999,"[[466 349]
 [  3  18]]"
1,1,1,own_class_center,lin_center_own,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,2,own_class_center,lin_center_own,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,3,own_class_center,lin_center_own,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,4,own_class_center,lin_center_own,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,5,own_class_center,lin_center_own,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,1,own_class_center,exp,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,2,own_class_center,exp,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,3,own_class_center,exp,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,4,own_class_center,exp,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,5,own_class_center,exp,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,1,estimated_hyper_lin,lin_center_own,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,2,estimated_hyper_lin,lin_center_own,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,3,estimated_hyper_lin,lin_center_own,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,4,estimated_hyper_lin,lin_center_own,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,5,estimated_hyper_lin,lin_center_own,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,1,estimated_hyper_lin,exp,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,2,estimated_hyper_lin,exp,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,3,estimated_hyper_lin,exp,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,4,estimated_hyper_lin,exp,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,5,estimated_hyper_lin,exp,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
1,1,1,actual_hyper_lin,lin_center_own,0.484662577,0.142857143,0.263130217,0.013513514,0.476076555,0.31375986,"[[395 420]
 [ 18   3]]"
1,1,2,actual_hyper_lin,lin_center_own,0.488343558,0.333333333,0.403461505,0.031460674,0.484449761,0.410838446,"[[398 417]
 [ 14   7]]"
1,1,3,actual_hyper_lin,lin_center_own,0.398773006,0.952380952,0.616266026,0.075329567,0.412679426,0.675576979,"[[325 490]
 [  1  20]]"
1,1,4,actual_hyper_lin,lin_center_own,0.479754601,0.238095238,0.337975274,0.022222222,0.473684211,0.35892492,"[[391 424]
 [ 16   5]]"
1,1,5,actual_hyper_lin,lin_center_own,0.62208589,0.761904762,0.688454938,0.092753623,0.625598086,0.691995326,"[[507 308]
 [  5  16]]"
1,1,1,actual_hyper_lin,exp,1,0,0,0,0.974880383,0.5,"[[815   0]
 [ 21   0]]"
