Times,Fold,T,K,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
1,1,None,None,SVM,SVM,1,0,0,0,0.966329966,0.5,"[[287   0]
 [ 10   0]]"
1,1,None,None,WSVM,WSVM,1,0,0,0,0.966329966,0.5,"[[287   0]
 [ 10   0]]"
1,1,None,None,own_class_center,lin_center_own,0.986062718,0.4,0.628032712,0.444444444,0.966329966,0.693031359,"[[283   4]
 [  6   4]]"
1,1,None,None,own_class_center,exp,0.979094077,0.3,0.541966994,0.315789474,0.956228956,0.639547038,"[[281   6]
 [  7   3]]"
1,1,None,None,estimated_hyper_lin,lin_center_own,0.986062718,0.2,0.444086189,0.25,0.95959596,0.593031359,"[[283   4]
 [  8   2]]"
1,1,None,None,estimated_hyper_lin,exp,1,0,0,0,0.966329966,0.5,"[[287   0]
 [ 10   0]]"
1,1,None,None,actual_hyper_lin,lin_center_own,0.986062718,0.4,0.628032712,0.444444444,0.966329966,0.693031359,"[[283   4]
 [  6   4]]"
1,1,None,None,actual_hyper_lin,exp,0.986062718,0.4,0.628032712,0.444444444,0.966329966,0.693031359,"[[283   4]
 [  6   4]]"
1,1,None,None,distance_center_own_opposite_tam,func_own_opp_new_v2,0.344947735,1,0.587322514,0.096153846,0.367003367,0.672473868,"[[ 99 188]
 [  0  10]]"
1,1,1,4,own_class_center,lin_center_own,0.986062718,0.4,0.628032712,0.444444444,0.966329966,0.693031359,"[[283   4]
 [  6   4]]"
1,1,1,5,own_class_center,lin_center_own,0.982578397,0.4,0.626922131,0.421052632,0.962962963,0.691289199,"[[282   5]
 [  6   4]]"
1,1,1,6,own_class_center,lin_center_own,0.982578397,0.4,0.626922131,0.421052632,0.962962963,0.691289199,"[[282   5]
 [  6   4]]"
1,1,2,4,own_class_center,lin_center_own,0.986062718,0.4,0.628032712,0.444444444,0.966329966,0.693031359,"[[283   4]
 [  6   4]]"
1,1,2,5,own_class_center,lin_center_own,0.986062718,0.4,0.628032712,0.444444444,0.966329966,0.693031359,"[[283   4]
 [  6   4]]"
1,1,2,6,own_class_center,lin_center_own,0.986062718,0.4,0.628032712,0.444444444,0.966329966,0.693031359,"[[283   4]
 [  6   4]]"
1,1,3,4,own_class_center,lin_center_own,0.986062718,0.3,0.543892283,0.352941176,0.962962963,0.643031359,"[[283   4]
 [  7   3]]"
1,1,3,5,own_class_center,lin_center_own,0.986062718,0.3,0.543892283,0.352941176,0.962962963,0.643031359,"[[283   4]
 [  7   3]]"
1,1,3,6,own_class_center,lin_center_own,0.986062718,0.4,0.628032712,0.444444444,0.966329966,0.693031359,"[[283   4]
 [  6   4]]"
1,1,4,4,own_class_center,lin_center_own,0.986062718,0.3,0.543892283,0.352941176,0.962962963,0.643031359,"[[283   4]
 [  7   3]]"
