Times,Fold,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC
0,1,SVM,SVM,0.993333333,0.84,0.91345498,0.903225806,0.955,0.916666667
0,1,WSVM,WSVM,0.966666667,0.86,0.911774826,0.87755102,0.94,0.913333333
0,1,own_class_center,lin_center_own,0.973333333,0.88,0.925490861,0.897959184,0.95,0.926666667
0,1,own_class_center,exp,0.973333333,0.88,0.925490861,0.897959184,0.95,0.926666667
0,1,estimated_hyper_lin,lin_center_own,0.966666667,0.88,0.922315926,0.888888889,0.945,0.923333333
0,1,estimated_hyper_lin,exp,0.946666667,0.84,0.891739872,0.84,0.92,0.893333333
0,1,actual_hyper_lin,lin_center_own,0.926666667,0.92,0.923327316,0.859813084,0.925,0.923333333
0,1,actual_hyper_lin,exp,0.96,0.88,0.919130023,0.88,0.94,0.92
0,1,distance_center_own_opposite_tam,func_own_opp_new,0.96,0.88,0.919130023,0.88,0.94,0.92
0,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.96,0.88,0.919130023,0.88,0.94,0.92
0,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.96,0.88,0.919130023,0.88,0.94,0.92
0,1,SVM,SVM,1,0.82,0.905538514,0.901098901,0.955,0.91
0,1,WSVM,WSVM,0.986666667,0.88,0.931808278,0.916666667,0.96,0.933333333
0,1,own_class_center,lin_center_own,0.986666667,0.86,0.921158691,0.905263158,0.955,0.923333333
0,1,own_class_center,exp,0.993333333,0.82,0.902515004,0.891304348,0.95,0.906666667
0,1,estimated_hyper_lin,lin_center_own,0.986666667,0.86,0.921158691,0.905263158,0.955,0.923333333
0,1,estimated_hyper_lin,exp,0.986666667,0.88,0.931808278,0.916666667,0.96,0.933333333
0,1,actual_hyper_lin,lin_center_own,0.966666667,0.88,0.922315926,0.888888889,0.945,0.923333333
0,1,actual_hyper_lin,exp,0.98,0.88,0.928654941,0.907216495,0.955,0.93
0,1,distance_center_own_opposite_tam,func_own_opp_new,0.98,0.86,0.918041393,0.895833333,0.95,0.92
0,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.98,0.88,0.928654941,0.907216495,0.955,0.93
0,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.98,0.88,0.928654941,0.907216495,0.955,0.93
0,1,SVM,SVM,1,0.92,0.959166305,0.958333333,0.98,0.96
0,1,WSVM,WSVM,0.973333333,0.94,0.956521476,0.930693069,0.965,0.956666667
0,1,own_class_center,lin_center_own,0.953333333,0.94,0.946643192,0.903846154,0.95,0.946666667
0,1,own_class_center,exp,0.953333333,0.94,0.946643192,0.903846154,0.95,0.946666667
0,1,estimated_hyper_lin,lin_center_own,0.953333333,0.94,0.946643192,0.903846154,0.95,0.946666667
0,1,estimated_hyper_lin,exp,0.986666667,0.94,0.963050708,0.949494949,0.975,0.963333333
0,1,actual_hyper_lin,lin_center_own,0.966666667,0.96,0.963327566,0.932038835,0.965,0.963333333
0,1,actual_hyper_lin,exp,0.96,0.94,0.949947367,0.912621359,0.955,0.95
0,1,distance_center_own_opposite_tam,func_own_opp_new,0.973333333,0.94,0.956521476,0.930693069,0.965,0.956666667
