Times,Fold,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan,,Times,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC
0,1,SVM,SVM,0.988888889,0.65,0.801734231,0.742857143,0.955,0.819444444,"[[178   2]
 [  7  13]]",,1,SVM,SVM,0.992222222,0.61,0.776746067,0.724502165,0.954,0.801111111
0,1,WSVM,WSVM,0.966666667,0.75,0.851469318,0.731707317,0.945,0.858333333,"[[174   6]
 [  5  15]]",,,WSVM,WSVM,0.978888889,0.69,0.820508757,0.733024079,0.95,0.834444444
0,1,own_class_center,lin_center_own,0.95,0.8,0.871779789,0.711111111,0.935,0.875,"[[171   9]
 [  4  16]]",,,own_class_center,lin_center_own,0.957777778,0.76,0.852855348,0.714677003,0.938,0.858888889
0,1,own_class_center,exp,0.966666667,0.75,0.851469318,0.731707317,0.945,0.858333333,"[[174   6]
 [  5  15]]",,,own_class_center,exp,0.962222222,0.72,0.831638061,0.703653716,0.938,0.841111111
0,1,estimated_hyper_lin,lin_center_own,0.95,0.8,0.871779789,0.711111111,0.935,0.875,"[[171   9]
 [  4  16]]",,,estimated_hyper_lin,lin_center_own,0.956666667,0.77,0.85809657,0.716303576,0.938,0.863333333
0,1,estimated_hyper_lin,exp,0.955555556,0.5,0.691214712,0.526315789,0.91,0.727777778,"[[172   8]
 [ 10  10]]",,,estimated_hyper_lin,exp,0.961111111,0.68,0.805869263,0.66811115,0.933,0.820555556
0,1,actual_hyper_lin,lin_center_own,0.927777778,0.65,0.776566517,0.565217391,0.9,0.788888889,"[[167  13]
 [  7  13]]",,,actual_hyper_lin,lin_center_own,0.921111111,0.79,0.851313799,0.631647252,0.908,0.855555556
0,1,actual_hyper_lin,exp,0.95,0.8,0.871779789,0.711111111,0.935,0.875,"[[171   9]
 [  4  16]]",,,actual_hyper_lin,exp,0.955555556,0.77,0.85762679,0.712238171,0.937,0.862777778
0,1,distance_center_own_opposite_tam,func_own_opp_new,0.961111111,0.8,0.876863096,0.744186047,0.945,0.880555556,"[[173   7]
 [  4  16]]",,,distance_center_own_opposite_tam,func_own_opp_new,0.96,0.77,0.859645868,0.72714844,0.941,0.865
0,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.95,0.8,0.871779789,0.711111111,0.935,0.875,"[[171   9]
 [  4  16]]",,,distance_center_own_opposite_tam,func_own_opp_new_v1,0.956666667,0.77,0.858109836,0.716637349,0.938,0.863333333
0,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.95,0.8,0.871779789,0.711111111,0.935,0.875,"[[171   9]
 [  4  16]]",,,distance_center_own_opposite_tam,func_own_opp_new_v2,0.956666667,0.77,0.858109836,0.716637349,0.938,0.863333333
0,1,SVM,SVM,0.994444444,0.7,0.834332734,0.8,0.965,0.847222222,"[[179   1]
 [  6  14]]",,2,SVM,SVM,0.992222222,0.6,0.769503994,0.715866986,0.953,0.796111111
0,1,WSVM,WSVM,0.983333333,0.75,0.858778202,0.789473684,0.96,0.866666667,"[[177   3]
 [  5  15]]",,,WSVM,WSVM,0.981111111,0.69,0.822091916,0.742406015,0.952,0.835555556
0,1,own_class_center,lin_center_own,0.95,0.8,0.871779789,0.711111111,0.935,0.875,"[[171   9]
 [  4  16]]",,,own_class_center,lin_center_own,0.963333333,0.72,0.831291918,0.705322129,0.939,0.841666667
0,1,own_class_center,exp,0.944444444,0.8,0.869226987,0.695652174,0.93,0.872222222,"[[170  10]
 [  4  16]]",,,own_class_center,exp,0.967777778,0.7,0.821443565,0.703344408,0.941,0.833888889
0,1,estimated_hyper_lin,lin_center_own,0.95,0.8,0.871779789,0.711111111,0.935,0.875,"[[171   9]
 [  4  16]]",,,estimated_hyper_lin,lin_center_own,0.962222222,0.76,0.853858924,0.726739927,0.942,0.861111111
0,1,estimated_hyper_lin,exp,0.955555556,0.8,0.874325137,0.727272727,0.94,0.877777778,"[[172   8]
 [  4  16]]",,,estimated_hyper_lin,exp,0.963333333,0.7,0.819783949,0.69218435,0.937,0.831666667
0,1,actual_hyper_lin,lin_center_own,0.905555556,0.8,0.851143022,0.603773585,0.895,0.852777778,"[[163  17]
 [  4  16]]",,,actual_hyper_lin,lin_center_own,0.93,0.81,0.867557267,0.666210702,0.918,0.87
0,1,actual_hyper_lin,exp,0.955555556,0.8,0.874325137,0.727272727,0.94,0.877777778,"[[172   8]
 [  4  16]]",,,actual_hyper_lin,exp,0.961111111,0.74,0.842162261,0.710060482,0.939,0.850555556
0,1,distance_center_own_opposite_tam,func_own_opp_new,0.966666667,0.8,0.879393731,0.761904762,0.95,0.883333333,"[[174   6]
 [  4  16]]",,,distance_center_own_opposite_tam,func_own_opp_new,0.962222222,0.73,0.837290419,0.706756627,0.939,0.846111111
0,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.955555556,0.8,0.874325137,0.727272727,0.94,0.877777778,"[[172   8]
 [  4  16]]",,,distance_center_own_opposite_tam,func_own_opp_new_v1,0.96,0.74,0.841625026,0.705785544,0.938,0.85
0,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.955555556,0.8,0.874325137,0.727272727,0.94,0.877777778,"[[172   8]
 [  4  16]]",,,distance_center_own_opposite_tam,func_own_opp_new_v2,0.96,0.74,0.841625026,0.705785544,0.938,0.85
0,1,SVM,SVM,0.983333333,0.6,0.768114575,0.685714286,0.945,0.791666667,"[[177   3]
 [  8  12]]",,3,SVM,SVM,0.992222222,0.62,0.783312401,0.732565065,0.955,0.806111111
0,1,WSVM,WSVM,0.972222222,0.75,0.853912564,0.75,0.95,0.861111111,"[[175   5]
 [  5  15]]",,,WSVM,WSVM,0.983333333,0.69,0.822130006,0.748628552,0.954,0.836666667
0,1,own_class_center,lin_center_own,0.944444444,0.75,0.841625412,0.666666667,0.925,0.847222222,"[[170  10]
 [  5  15]]",,,own_class_center,lin_center_own,0.963333333,0.76,0.854424812,0.726724596,0.943,0.861666667
0,1,own_class_center,exp,0.938888889,0.65,0.781202776,0.590909091,0.91,0.794444444,"[[169  11]
 [  7  13]]",,,own_class_center,exp,0.964444444,0.76,0.855039728,0.730265117,0.944,0.862222222
0,1,estimated_hyper_lin,lin_center_own,0.944444444,0.75,0.841625412,0.666666667,0.925,0.847222222,"[[170  10]
 [  5  15]]",,,estimated_hyper_lin,lin_center_own,0.958888889,0.76,0.852459239,0.713792752,0.939,0.859444444
0,1,estimated_hyper_lin,exp,0.95,0.75,0.844097151,0.681818182,0.93,0.85,"[[171   9]
 [  5  15]]",,,estimated_hyper_lin,exp,0.962222222,0.74,0.843588843,0.711973392,0.94,0.851111111
0,1,actual_hyper_lin,lin_center_own,0.916666667,0.9,0.908295106,0.679245283,0.915,0.908333333,"[[165  15]
 [  2  18]]",,,actual_hyper_lin,lin_center_own,0.924444444,0.8,0.859069627,0.6449583,0.912,0.862222222
0,1,actual_hyper_lin,exp,0.944444444,0.75,0.841625412,0.666666667,0.925,0.847222222,"[[170  10]
 [  5  15]]",,,actual_hyper_lin,exp,0.96,0.77,0.859025205,0.724166945,0.941,0.865
