Times,Fold,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
0,1,SVM,SVM,0.9933,0.8400,0.9135,0.9032,0.9550,0.9167,"[[149   1]
 [  8  42]]"
0,1,WSVM,WSVM,0.9667,0.8600,0.9118,0.8776,0.9400,0.9133,"[[145   5]
 [  7  43]]"
0,1,own_class_center,lin_center_own,0.9733,0.8800,0.9255,0.8980,0.9500,0.9267,"[[146   4]
 [  6  44]]"
0,1,own_class_center,exp,0.9733,0.8800,0.9255,0.8980,0.9500,0.9267,"[[146   4]
 [  6  44]]"
0,1,estimated_hyper_lin,lin_center_own,0.9667,0.8800,0.9223,0.8889,0.9450,0.9233,"[[145   5]
 [  6  44]]"
0,1,estimated_hyper_lin,exp,0.9467,0.8400,0.8917,0.8400,0.9200,0.8933,"[[142   8]
 [  8  42]]"
0,1,actual_hyper_lin,lin_center_own,0.9267,0.9200,0.9233,0.8598,0.9250,0.9233,"[[139  11]
 [  4  46]]"
0,1,actual_hyper_lin,exp,0.9600,0.8800,0.9191,0.8800,0.9400,0.9200,"[[144   6]
 [  6  44]]"
0,1,distance_center_own_opposite_tam,func_own_opp_new,0.9600,0.8800,0.9191,0.8800,0.9400,0.9200,"[[144   6]
 [  6  44]]"
0,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.9600,0.8800,0.9191,0.8800,0.9400,0.9200,"[[144   6]
 [  6  44]]"
0,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.9600,0.8800,0.9191,0.8800,0.9400,0.9200,"[[144   6]
 [  6  44]]"
0,1,SVM,SVM,1.0000,0.8200,0.9055,0.9011,0.9550,0.9100,"[[150   0]
 [  9  41]]"
0,1,WSVM,WSVM,0.9867,0.8800,0.9318,0.9167,0.9600,0.9333,"[[148   2]
 [  6  44]]"
0,1,own_class_center,lin_center_own,0.9867,0.8600,0.9212,0.9053,0.9550,0.9233,"[[148   2]
 [  7  43]]"
0,1,own_class_center,exp,0.9933,0.8200,0.9025,0.8913,0.9500,0.9067,"[[149   1]
 [  9  41]]"
0,1,estimated_hyper_lin,lin_center_own,0.9867,0.8600,0.9212,0.9053,0.9550,0.9233,"[[148   2]
 [  7  43]]"
0,1,estimated_hyper_lin,exp,0.9867,0.8800,0.9318,0.9167,0.9600,0.9333,"[[148   2]
 [  6  44]]"
0,1,actual_hyper_lin,lin_center_own,0.9667,0.8800,0.9223,0.8889,0.9450,0.9233,"[[145   5]
 [  6  44]]"
0,1,actual_hyper_lin,exp,0.9800,0.8800,0.9287,0.9072,0.9550,0.9300,"[[147   3]
 [  6  44]]"
0,1,distance_center_own_opposite_tam,func_own_opp_new,0.9800,0.8600,0.9180,0.8958,0.9500,0.9200,"[[147   3]
 [  7  43]]"
0,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.9800,0.8800,0.9287,0.9072,0.9550,0.9300,"[[147   3]
 [  6  44]]"
0,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.9800,0.8800,0.9287,0.9072,0.9550,0.9300,"[[147   3]
 [  6  44]]"
0,1,SVM,SVM,1.0000,0.9200,0.9592,0.9583,0.9800,0.9600,"[[150   0]
 [  4  46]]"
0,1,WSVM,WSVM,0.9733,0.9400,0.9565,0.9307,0.9650,0.9567,"[[146   4]
 [  3  47]]"
0,1,own_class_center,lin_center_own,0.9533,0.9400,0.9466,0.9038,0.9500,0.9467,"[[143   7]
 [  3  47]]"
0,1,own_class_center,exp,0.9533,0.9400,0.9466,0.9038,0.9500,0.9467,"[[143   7]
 [  3  47]]"
0,1,estimated_hyper_lin,lin_center_own,0.9533,0.9400,0.9466,0.9038,0.9500,0.9467,"[[143   7]
 [  3  47]]"
0,1,estimated_hyper_lin,exp,0.9867,0.9400,0.9631,0.9495,0.9750,0.9633,"[[148   2]
 [  3  47]]"
0,1,actual_hyper_lin,lin_center_own,0.9667,0.9600,0.9633,0.9320,0.9650,0.9633,"[[145   5]
 [  2  48]]"
0,1,actual_hyper_lin,exp,0.9600,0.9400,0.9499,0.9126,0.9550,0.9500,"[[144   6]
 [  3  47]]"
0,1,distance_center_own_opposite_tam,func_own_opp_new,0.9733,0.9400,0.9565,0.9307,0.9650,0.9567,"[[146   4]
 [  3  47]]"
0,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.9667,0.9600,0.9633,0.9320,0.9650,0.9633,"[[145   5]
 [  2  48]]"
0,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.9667,0.9600,0.9633,0.9320,0.9650,0.9633,"[[145   5]
 [  2  48]]"
0,1,SVM,SVM,1.0000,0.9600,0.9798,0.9796,0.9900,0.9800,"[[150   0]
 [  2  48]]"
0,1,WSVM,WSVM,0.9933,0.9800,0.9866,0.9800,0.9900,0.9867,"[[149   1]
 [  1  49]]"
0,1,own_class_center,lin_center_own,0.9800,0.9600,0.9699,0.9505,0.9750,0.9700,"[[147   3]
 [  2  48]]"
0,1,own_class_center,exp,0.9800,0.9600,0.9699,0.9505,0.9750,0.9700,"[[147   3]
 [  2  48]]"
0,1,estimated_hyper_lin,lin_center_own,0.9800,0.9600,0.9699,0.9505,0.9750,0.9700,"[[147   3]
 [  2  48]]"
0,1,estimated_hyper_lin,exp,0.9933,0.9600,0.9765,0.9697,0.9850,0.9767,"[[149   1]
 [  2  48]]"
0,1,actual_hyper_lin,lin_center_own,0.9667,0.9600,0.9633,0.9320,0.9650,0.9633,"[[145   5]
 [  2  48]]"
0,1,actual_hyper_lin,exp,0.9933,0.9600,0.9765,0.9697,0.9850,0.9767,"[[149   1]
 [  2  48]]"
0,1,distance_center_own_opposite_tam,func_own_opp_new,0.9867,0.9600,0.9732,0.9600,0.9800,0.9733,"[[148   2]
 [  2  48]]"
