Times,Fold,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan,,Times,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC
0,1,SVM,SVM,1,0,0,0,0.725806452,0.5,"[[45  0]
 [17  0]]",,1,SVM,SVM,0.991111111,0.0125,0.049441323,0.022222222,0.732046536,0.501805556
0,1,WSVM,WSVM,1,0,0,0,0.725806452,0.5,"[[45  0]
 [17  0]]",,,WSVM,WSVM,0.915555556,0.2,0.310503667,0.223655914,0.725489159,0.557777778
0,1,own_class_center,lin_center_own,1,0,0,0,0.725806452,0.5,"[[45  0]
 [17  0]]",,,own_class_center,lin_center_own,0.973333333,0.025,0.065828059,0.033333333,0.722210471,0.499166667
0,1,own_class_center,exp,1,0,0,0,0.725806452,0.5,"[[45  0]
 [17  0]]",,,own_class_center,exp,0.946666667,0.1125,0.18898108,0.129885057,0.725489159,0.529583333
0,1,estimated_hyper_lin,lin_center_own,1,0,0,0,0.725806452,0.5,"[[45  0]
 [17  0]]",,,estimated_hyper_lin,lin_center_own,0.973333333,0.025,0.065828059,0.033333333,0.722210471,0.499166667
0,1,estimated_hyper_lin,exp,1,0,0,0,0.725806452,0.5,"[[45  0]
 [17  0]]",,,estimated_hyper_lin,exp,0.977777778,0.025,0.066666667,0.034782609,0.725489159,0.501388889
0,1,actual_hyper_lin,lin_center_own,1,0,0,0,0.725806452,0.5,"[[45  0]
 [17  0]]",,,actual_hyper_lin,lin_center_own,0.955555556,0.1,0.182732578,0.125641026,0.728767848,0.527777778
0,1,actual_hyper_lin,exp,1,0,0,0,0.725806452,0.5,"[[45  0]
 [17  0]]",,,actual_hyper_lin,exp,0.977777778,0.025,0.066666667,0.034782609,0.725489159,0.501388889
0,1,distance_center_own_opposite_tam,func_own_opp_new,1,0,0,0,0.725806452,0.5,"[[45  0]
 [17  0]]",,,distance_center_own_opposite_tam,func_own_opp_new,0.937777778,0.1125,0.184988262,0.122282609,0.718931782,0.525138889
0,1,distance_center_own_opposite_tam,func_own_opp_new_v1,1,0,0,0,0.725806452,0.5,"[[45  0]
 [17  0]]",,,distance_center_own_opposite_tam,func_own_opp_new_v1,0.977777778,0.025,0.066666667,0.034782609,0.725489159,0.501388889
0,1,distance_center_own_opposite_tam,func_own_opp_new_v2,1,0,0,0,0.725806452,0.5,"[[45  0]
 [17  0]]",,,distance_center_own_opposite_tam,func_own_opp_new_v2,0.977777778,0.025,0.066666667,0.034782609,0.725489159,0.501388889
