Times,Fold,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan,,Times,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC
0,1,SVM,SVM,1,0,0,0,0.76,0.5,"[[114   0]
 [ 36   0]]",,1,SVM,SVM,0.996491228,0.011428571,0.04738791,0.020512821,0.762040268,0.5039599
0,1,WSVM,WSVM,1,0,0,0,0.76,0.5,"[[114   0]
 [ 36   0]]",,,WSVM,WSVM,0.947368421,0.142857143,0.221952593,0.159730849,0.755328859,0.545112782
0,1,own_class_center,lin_center_own,0.938596491,0.361111111,0.582183495,0.464285714,0.8,0.649853801,"[[107   7]
 [ 23  13]]",,,own_class_center,lin_center_own,0.892982456,0.355079365,0.492751695,0.376728111,0.764671141,0.624030911
0,1,own_class_center,exp,0.956140351,0.305555556,0.540512716,0.423076923,0.8,0.630847953,"[[109   5]
 [ 25  11]]",,,own_class_center,exp,0.921052632,0.263650794,0.366321678,0.28017094,0.764662192,0.592351713
0,1,estimated_hyper_lin,lin_center_own,0.938596491,0.361111111,0.582183495,0.464285714,0.8,0.649853801,"[[107   7]
 [ 23  13]]",,,estimated_hyper_lin,lin_center_own,0.942105263,0.186507937,0.249267833,0.191622575,0.761986577,0.5643066
0,1,estimated_hyper_lin,exp,0.938596491,0.305555556,0.535530926,0.407407407,0.786666667,0.622076023,"[[107   7]
 [ 25  11]]",,,estimated_hyper_lin,exp,0.938596491,0.175396825,0.2384192,0.177867024,0.756635347,0.556996658
0,1,actual_hyper_lin,lin_center_own,0.219298246,0.972222222,0.461743032,0.4375,0.4,0.595760234,"[[25 89]
 [ 1 35]]",,,actual_hyper_lin,lin_center_own,0.647368421,0.585396825,0.484256051,0.374695622,0.632384787,0.616382623
0,1,actual_hyper_lin,exp,1,0,0,0,0.76,0.5,"[[114   0]
 [ 36   0]]",,,actual_hyper_lin,exp,0.875438596,0.355396825,0.48519524,0.360872204,0.751319911,0.615417711
0,1,distance_center_own_opposite_tam,func_own_opp_new,0.903508772,0.416666667,0.613564983,0.483870968,0.786666667,0.660087719,"[[103  11]
 [ 21  15]]",,,distance_center_own_opposite_tam,func_own_opp_new,0.866666667,0.421746032,0.600600505,0.45236429,0.760671141,0.644206349
0,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.938596491,0.361111111,0.582183495,0.464285714,0.8,0.649853801,"[[107   7]
 [ 23  13]]",,,distance_center_own_opposite_tam,func_own_opp_new_v1,0.892982456,0.360634921,0.496307891,0.3808377,0.766004474,0.626808688
0,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.938596491,0.361111111,0.582183495,0.464285714,0.8,0.649853801,"[[107   7]
 [ 23  13]]",,,distance_center_own_opposite_tam,func_own_opp_new_v2,0.892982456,0.360634921,0.496307891,0.3808377,0.766004474,0.626808688
0,1,SVM,SVM,1,0,0,0,0.76,0.5,"[[114   0]
 [ 36   0]]",,2,SVM,SVM,0.998245614,0,0,0,0.760706935,0.499122807
0,1,WSVM,WSVM,1,0,0,0,0.76,0.5,"[[114   0]
 [ 36   0]]",,,WSVM,WSVM,0.947368421,0.122222222,0.204647851,0.140816864,0.751373602,0.534795322
0,1,own_class_center,lin_center_own,1,0,0,0,0.76,0.5,"[[114   0]
 [ 36   0]]",,,own_class_center,lin_center_own,0.88245614,0.308095238,0.457425509,0.331691689,0.746004474,0.595275689
0,1,own_class_center,exp,1,0,0,0,0.76,0.5,"[[114   0]
 [ 36   0]]",,,own_class_center,exp,0.89122807,0.296984127,0.450252471,0.326754602,0.750004474,0.594106099
0,1,estimated_hyper_lin,lin_center_own,1,0,0,0,0.76,0.5,"[[114   0]
 [ 36   0]]",,,estimated_hyper_lin,lin_center_own,0.88245614,0.324920635,0.469299338,0.345140011,0.750013423,0.603688388
0,1,estimated_hyper_lin,exp,1,0,0,0,0.76,0.5,"[[114   0]
 [ 36   0]]",,,estimated_hyper_lin,exp,0.929824561,0.174920635,0.239891962,0.174647887,0.750022371,0.552372598
0,1,actual_hyper_lin,lin_center_own,0.754385965,0.583333333,0.663369037,0.494117647,0.713333333,0.668859649,"[[86 28]
 [15 21]]",,,actual_hyper_lin,lin_center_own,0.822807018,0.451269841,0.526999011,0.393800164,0.73396868,0.637038429
0,1,actual_hyper_lin,exp,0.877192982,0.333333333,0.54073807,0.387096774,0.746666667,0.605263158,"[[100  14]
 [ 24  12]]",,,actual_hyper_lin,exp,0.861403509,0.438412698,0.613901926,0.467867811,0.760733781,0.649908104
0,1,distance_center_own_opposite_tam,func_own_opp_new,0.894736842,0.305555556,0.52286883,0.372881356,0.753333333,0.600146199,"[[102  12]
 [ 25  11]]",,,distance_center_own_opposite_tam,func_own_opp_new,0.864912281,0.443492063,0.617977032,0.47313438,0.764724832,0.654202172
0,1,distance_center_own_opposite_tam,func_own_opp_new_v1,1,0,0,0,0.76,0.5,"[[114   0]
 [ 36   0]]",,,distance_center_own_opposite_tam,func_own_opp_new_v1,0.877192982,0.313650794,0.459697942,0.332426983,0.743337808,0.595421888
0,1,distance_center_own_opposite_tam,func_own_opp_new_v2,1,0,0,0,0.76,0.5,"[[114   0]
 [ 36   0]]",,,distance_center_own_opposite_tam,func_own_opp_new_v2,0.877192982,0.313650794,0.459697942,0.332426983,0.743337808,0.595421888
0,1,SVM,SVM,1,0,0,0,0.76,0.5,"[[114   0]
 [ 36   0]]",,3,SVM,SVM,0.996491228,0.005555556,0.033186812,0.010526316,0.760706935,0.501023392
0,1,WSVM,WSVM,1,0,0,0,0.76,0.5,"[[114   0]
 [ 36   0]]",,,WSVM,WSVM,0.956140351,0.122222222,0.206429676,0.145681818,0.758040268,0.539181287
0,1,own_class_center,lin_center_own,0.842105263,0.5,0.648885685,0.5,0.76,0.671052632,"[[96 18]
 [18 18]]",,,own_class_center,lin_center_own,0.915789474,0.23,0.340546533,0.247203135,0.752706935,0.572894737
0,1,own_class_center,exp,0.833333333,0.555555556,0.680413817,0.533333333,0.766666667,0.694444444,"[[95 19]
 [16 20]]",,,own_class_center,exp,0.910526316,0.296666667,0.454830029,0.341195806,0.764733781,0.603596491
0,1,estimated_hyper_lin,lin_center_own,1,0,0,0,0.76,0.5,"[[114   0]
 [ 36   0]]",,,estimated_hyper_lin,lin_center_own,0.915789474,0.246666667,0.355035566,0.263605541,0.756706935,0.58122807
0,1,estimated_hyper_lin,exp,1,0,0,0,0.76,0.5,"[[114   0]
 [ 36   0]]",,,estimated_hyper_lin,exp,0.91754386,0.241111111,0.351022285,0.259751025,0.756715884,0.579327485
0,1,actual_hyper_lin,lin_center_own,1,0,0,0,0.76,0.5,"[[114   0]
 [ 36   0]]",,,actual_hyper_lin,lin_center_own,0.821052632,0.455555556,0.527347462,0.399427387,0.734058166,0.638304094
0,1,actual_hyper_lin,exp,0.850877193,0.472222222,0.63387942,0.485714286,0.76,0.661549708,"[[97 17]
 [19 17]]",,,actual_hyper_lin,exp,0.892982456,0.357936508,0.495955143,0.380231358,0.766049217,0.625459482
0,1,distance_center_own_opposite_tam,func_own_opp_new,0.850877193,0.472222222,0.63387942,0.485714286,0.76,0.661549708,"[[97 17]
 [19 17]]",,,distance_center_own_opposite_tam,func_own_opp_new,0.870175439,0.466507937,0.634690636,0.494120699,0.774049217,0.668341688
0,1,distance_center_own_opposite_tam,func_own_opp_new_v1,0.842105263,0.527777778,0.666666667,0.520547945,0.766666667,0.68494152,"[[96 18]
 [17 19]]",,,distance_center_own_opposite_tam,func_own_opp_new_v1,0.915789474,0.246666667,0.355035566,0.263605541,0.756706935,0.58122807
0,1,distance_center_own_opposite_tam,func_own_opp_new_v2,0.842105263,0.527777778,0.666666667,0.520547945,0.766666667,0.68494152,"[[96 18]
 [17 19]]",,,distance_center_own_opposite_tam,func_own_opp_new_v2,0.915789474,0.246666667,0.355035566,0.263605541,0.756706935,0.58122807
0,1,SVM,SVM,0.98245614,0.057142857,0.236939551,0.102564103,0.765100671,0.519799499,"[[112   2]
 [ 33   2]]",,4,SVM,SVM,0.998245614,0,0,0,0.760706935,0.499122807
0,1,WSVM,WSVM,0.824561404,0.4,0.574303545,0.405797101,0.724832215,0.612280702,"[[94 20]
 [21 14]]",,,WSVM,WSVM,0.959649123,0.112857143,0.201110234,0.140147783,0.75803132,0.536253133
0,1,own_class_center,lin_center_own,0.807017544,0.542857143,0.661887633,0.5,0.744966443,0.674937343,"[[92 22]
 [16 19]]",,,own_class_center,lin_center_own,0.952631579,0.122222222,0.207587925,0.145703339,0.755373602,0.537426901
0,1,own_class_center,exp,0.815789474,0.457142857,0.610681857,0.444444444,0.731543624,0.636466165,"[[93 21]
 [19 16]]",,,own_class_center,exp,0.959649123,0.111111111,0.199854319,0.139987827,0.758040268,0.535380117
0,1,estimated_hyper_lin,lin_center_own,0.771929825,0.571428571,0.664155672,0.49382716,0.724832215,0.671679198,"[[88 26]
 [15 20]]",,,estimated_hyper_lin,lin_center_own,0.952631579,0.122222222,0.207587925,0.145703339,0.755373602,0.537426901
0,1,estimated_hyper_lin,exp,0.754385965,0.571428571,0.656565072,0.481927711,0.711409396,0.662907268,"[[86 28]
 [15 20]]",,,estimated_hyper_lin,exp,0.952631579,0.116666667,0.202817711,0.140378198,0.754040268,0.534649123
0,1,actual_hyper_lin,lin_center_own,0.543859649,0.828571429,0.671287246,0.5,0.610738255,0.686215539,"[[62 52]
 [ 6 29]]",,,actual_hyper_lin,lin_center_own,0.861403509,0.337777778,0.384638131,0.284642541,0.73661745,0.599590643
0,1,actual_hyper_lin,exp,0.771929825,0.6,0.680557047,0.512195122,0.731543624,0.685964912,"[[88 26]
 [14 21]]",,,actual_hyper_lin,exp,0.894736842,0.339365079,0.480132423,0.361980535,0.762085011,0.617050961
