Lan boc,Test Size,Rate,T,K-neighbors,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
1,0.2,0.2,None,None,SVM,SVM,0.96,0.6,0.758946638,0.666666667,0.9,0.78,"[[96  4]
 [ 8 12]]"
1,0.2,0.2,None,None,WSVM,WSVM,0.95,0.6,0.754983444,0.648648649,0.891666667,0.775,"[[95  5]
 [ 8 12]]"
1,0.2,0.2,None,None,own_class_center,lin_center_own,0.94,0.6,0.750999334,0.631578947,0.883333333,0.77,"[[94  6]
 [ 8 12]]"
1,0.2,0.2,None,None,own_class_center,exp,0.95,0.55,0.722841615,0.611111111,0.883333333,0.75,"[[95  5]
 [ 9 11]]"
1,0.2,0.2,None,None,estimated_hyper_lin,lin_center_own,0.95,0.55,0.722841615,0.611111111,0.883333333,0.75,"[[95  5]
 [ 9 11]]"
1,0.2,0.2,None,None,estimated_hyper_lin,exp,0.94,0.55,0.71902712,0.594594595,0.875,0.745,"[[94  6]
 [ 9 11]]"
1,0.2,0.2,None,None,actual_hyper_lin,lin_center_own,0.95,0.55,0.722841615,0.611111111,0.883333333,0.75,"[[95  5]
 [ 9 11]]"
1,0.2,0.2,None,None,actual_hyper_lin,exp,0.95,0.55,0.722841615,0.611111111,0.883333333,0.75,"[[95  5]
 [ 9 11]]"
1,0.2,0.2,None,None,distance_center_own_opposite_tam,func_own_opp_new,0.95,0.8,0.871779789,0.780487805,0.925,0.875,"[[95  5]
 [ 4 16]]"
1,0.2,0.2,None,None,distance_center_own_opposite_tam,func_own_opp_new_v1,0.94,0.75,0.839642781,0.731707317,0.908333333,0.845,"[[94  6]
 [ 5 15]]"
1,0.2,0.2,None,None,distance_center_own_opposite_tam,func_own_opp_new_v2,0.92,0.6,0.742967025,0.6,0.866666667,0.76,"[[92  8]
 [ 8 12]]"
1,0.2,0.2,1,4,own_class_center,lin_center_own,0.94,0.7,0.811171992,0.7,0.9,0.82,"[[94  6]
 [ 6 14]]"
1,0.2,0.2,1,5,own_class_center,lin_center_own,0.94,0.7,0.811171992,0.7,0.9,0.82,"[[94  6]
 [ 6 14]]"
1,0.2,0.2,1,6,own_class_center,lin_center_own,0.94,0.7,0.811171992,0.7,0.9,0.82,"[[94  6]
 [ 6 14]]"
1,0.2,0.2,2,4,own_class_center,lin_center_own,0.94,0.65,0.78166489,0.666666667,0.891666667,0.795,"[[94  6]
 [ 7 13]]"
1,0.2,0.2,2,5,own_class_center,lin_center_own,0.95,0.7,0.815475322,0.717948718,0.908333333,0.825,"[[95  5]
 [ 6 14]]"
1,0.2,0.2,2,6,own_class_center,lin_center_own,0.95,0.7,0.815475322,0.717948718,0.908333333,0.825,"[[95  5]
 [ 6 14]]"
1,0.2,0.2,3,4,own_class_center,lin_center_own,0.95,0.75,0.844097151,0.75,0.916666667,0.85,"[[95  5]
 [ 5 15]]"
1,0.2,0.2,3,5,own_class_center,lin_center_own,0.94,0.7,0.811171992,0.7,0.9,0.82,"[[94  6]
 [ 6 14]]"
1,0.2,0.2,3,6,own_class_center,lin_center_own,0.94,0.7,0.811171992,0.7,0.9,0.82,"[[94  6]
 [ 6 14]]"
1,0.2,0.2,4,4,own_class_center,lin_center_own,0.94,0.7,0.811171992,0.7,0.9,0.82,"[[94  6]
 [ 6 14]]"
1,0.2,0.2,4,5,own_class_center,lin_center_own,0.94,0.7,0.811171992,0.7,0.9,0.82,"[[94  6]
 [ 6 14]]"
1,0.2,0.2,4,6,own_class_center,lin_center_own,0.94,0.7,0.811171992,0.7,0.9,0.82,"[[94  6]
 [ 6 14]]"
1,0.2,0.2,5,4,own_class_center,lin_center_own,0.94,0.7,0.811171992,0.7,0.9,0.82,"[[94  6]
 [ 6 14]]"
1,0.2,0.2,5,5,own_class_center,lin_center_own,0.94,0.7,0.811171992,0.7,0.9,0.82,"[[94  6]
 [ 6 14]]"
1,0.2,0.2,5,6,own_class_center,lin_center_own,0.94,0.7,0.811171992,0.7,0.9,0.82,"[[94  6]
 [ 6 14]]"
1,0.2,0.2,6,4,own_class_center,lin_center_own,0.94,0.7,0.811171992,0.7,0.9,0.82,"[[94  6]
 [ 6 14]]"
1,0.2,0.2,6,5,own_class_center,lin_center_own,0.94,0.7,0.811171992,0.7,0.9,0.82,"[[94  6]
 [ 6 14]]"
1,0.2,0.2,6,6,own_class_center,lin_center_own,0.94,0.7,0.811171992,0.7,0.9,0.82,"[[94  6]
 [ 6 14]]"
1,0.2,0.2,7,4,own_class_center,lin_center_own,0.94,0.7,0.811171992,0.7,0.9,0.82,"[[94  6]
 [ 6 14]]"
1,0.2,0.2,7,5,own_class_center,lin_center_own,0.94,0.7,0.811171992,0.7,0.9,0.82,"[[94  6]
 [ 6 14]]"
