Lan boc,Test Size,Rate,T,Name Method,Name Function,SP,SE,Gmean,F1 Score,Accuracy,AUC,Ma tran nham lan
1,0.2,0.2,None,SVM,SVM,0.96,0.2,0.4381780460041329,0.28571428571428575,0.8333333333333334,0.58,"[[48  2]
 [ 8  2]]"
1,0.2,0.2,None,WSVM,WSVM,0.9,0.4,0.6000000000000001,0.4210526315789474,0.8166666666666667,0.65,"[[45  5]
 [ 6  4]]"
1,0.2,0.2,None,own_class_center,lin_center_own,0.96,0.2,0.4381780460041329,0.28571428571428575,0.8333333333333334,0.58,"[[48  2]
 [ 8  2]]"
1,0.2,0.2,None,own_class_center,exp,0.96,0.3,0.5366563145999496,0.4,0.85,0.63,"[[48  2]
 [ 7  3]]"
1,0.2,0.2,None,estimated_hyper_lin,lin_center_own,0.96,0.1,0.30983866769659335,0.15384615384615383,0.8166666666666667,0.53,"[[48  2]
 [ 9  1]]"
1,0.2,0.2,None,estimated_hyper_lin,exp,0.96,0.2,0.4381780460041329,0.28571428571428575,0.8333333333333334,0.58,"[[48  2]
 [ 8  2]]"
1,0.2,0.2,None,actual_hyper_lin,lin_center_own,0.84,0.0,0.0,0.0,0.7,0.42,"[[42  8]
 [10  0]]"
1,0.2,0.2,None,actual_hyper_lin,exp,0.94,0.2,0.433589667773576,0.26666666666666666,0.8166666666666667,0.57,"[[47  3]
 [ 8  2]]"
1,0.2,0.2,None,distance_center_own_opposite_tam,func_own_opp_new,0.98,0.3,0.5422176684690383,0.4285714285714285,0.8666666666666667,0.64,"[[49  1]
 [ 7  3]]"
1,0.2,0.2,None,distance_center_own_opposite_tam,func_own_opp_new_v1,0.94,0.5,0.6855654600401044,0.5555555555555556,0.8666666666666667,0.72,"[[47  3]
 [ 5  5]]"
1,0.2,0.2,None,distance_center_own_opposite_tam,func_own_opp_new_v2,0.66,0.7,0.6797058187186571,0.4117647058823529,0.6666666666666666,0.6799999999999999,"[[33 17]
 [ 3  7]]"
1,0.2,0.2,1,own_class_center,lin_center_own,0.96,0.5,0.6928203230275509,0.588235294117647,0.8833333333333333,0.73,"[[48  2]
 [ 5  5]]"
1,0.2,0.2,2,own_class_center,lin_center_own,0.94,0.5,0.6855654600401044,0.5555555555555556,0.8666666666666667,0.72,"[[47  3]
 [ 5  5]]"
1,0.2,0.2,3,own_class_center,lin_center_own,0.94,0.5,0.6855654600401044,0.5555555555555556,0.8666666666666667,0.72,"[[47  3]
 [ 5  5]]"
1,0.2,0.2,1,own_class_center,exp,0.94,0.5,0.6855654600401044,0.5555555555555556,0.8666666666666667,0.72,"[[47  3]
 [ 5  5]]"
1,0.2,0.2,2,own_class_center,exp,0.94,0.5,0.6855654600401044,0.5555555555555556,0.8666666666666667,0.72,"[[47  3]
 [ 5  5]]"
