CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
8,6.281810277,0.75,195,1.774206349,1,8,1
0,4.069962216,0.571428571,117,1.121428571,1,0,1
0,2.416798451,0.3125,104,0.633333333,1,0,1
6,2.8010845,0.375,105,0.70995671,1,6,1
9,2.387063262,0.714285714,36,0.621428571,1,9,1
0,3.394804516,0.19047619,369,0.766203704,1,0,1
0,3.20896741,0.8,81,0.679482836,1,0,1
5,3.20896741,0.8,81,0.679482836,1,5,1
0,3.360673948,0.285714286,243,0.753556911,1,0,1
5,2.609589063,0.153846154,504,0.612222222,1,5,1
5,1.837568774,0.428571429,24,0.583333333,1,5,1
12,4.190805121,0.846153846,144,0.801665395,1,12,1
5,3.313974675,0.411764706,143,0.853210678,1,5,1
0,1.320801979,0.25,44,0.310689311,1,0,1
0,0,0,1,0,1,0,1
10,3.241215821,0.466666667,112,0.808333333,1,10,1
8,3.185844521,0.636363636,80,0.779761905,1,8,1
8,4.919406433,0.6,140,1.416666667,1,8,1
3,0.333808201,0.034482759,221,0.05,1,3,1
2,0.352956124,0.03125,260,0.058823529,1,2,1
0,4.944808351,0.333333333,351,1.320670996,1,0,1
5,2.929754306,0.5,104,0.649374699,1,5,1
3,1.607916886,0.088235294,132,0.464285714,1,3,1
0,0.345976256,0.021276596,287,0.055555556,0.5,0,1
4,1.152879893,0.050847458,861,0.223387723,0.5,4,1
3,3.394804516,0.19047619,369,0.766203704,1,3,1
2,0.345976256,0.021276596,287,0.055555556,0.5,2,1
0,3.394804516,0.19047619,369,0.766203704,1,0,1
18,7.870897188,0.428571429,779,1.850244663,1,18,1
8,3.075634793,0.166666667,328,0.726019302,1,8,1
5,1.55636912,0.083333333,451,0.310110211,1,5,1
5,1.627425256,0.072727273,738,0.345463747,1,5,1
0,0,0,287,0,0.125,0,1
18,11.19483567,0.619047619,1107,2.561895926,1,18,1
0,0.345976256,0.021276596,287,0.055555556,0.5,0,1
11,5.414747205,0.285714286,533,1.327565441,1,11,1
4,2.253876049,0.095238095,205,0.676923077,1,4,1
4,2.253876049,0.095238095,205,0.676923077,1,4,1
2,0.352956124,0.1,28,0.058823529,0.5,2,1
2,0.72134752,0.05,68,0.25,1,2,1
2,0.352956124,0.0625,52,0.058823529,0.5,2,1
2,0.352956124,0.1,28,0.058823529,0.5,2,1
2,0.352956124,0.1,28,0.058823529,0.5,2,1
0,0.480898347,0.090909091,27,0.125,1,0,1
0,2.383646542,0.75,49,0.495331466,1,0,1
0,0.345976256,0.04,133,0.055555556,0.5,0,1
0,0.345976256,0.071428571,56,0.055555556,0.5,0,1
3,2.383646542,0.75,49,0.495331466,1,3,1
0,0.480898347,0.111111111,16,0.125,1,0,1
3,1.871197433,0.272727273,40,0.585964912,1,3,1
1,0,0,3,0,1,1,1
2,0.621334935,0.1,18,0.2,1,2,1
0,0,0,180,0,0.333333333,0,1
0,3.626622357,0.692307692,120,0.759298246,1,0,1
0,0,0,190,0,0.2,0,1
0,3.68942869,0.45,190,0.79,1,0,1
0,0.339623272,0.0625,70,0.052631579,0.5,0,1
0,2.831491824,0.269230769,200,0.600490196,1,0,1
0,0.656917478,0.086956522,136,0.095238095,0.5,0,1
6,2.661260944,0.777777778,64,0.515490196,1,6,1
6,2.661260944,0.777777778,64,0.515490196,1,6,1
4,2.566137556,0.238095238,133,0.712301587,1,4,1
2,0.339623272,0.142857143,7,0.052631579,0.5,2,1
6,3.834557526,0.75,49,1.122076023,1,6,1
3,1.442695041,0.025641026,396,0.5,1,3,1
9,4.16125553,0.36,240,1.035353535,1,9,1
3,1.820478453,0.055555556,325,0.666666667,1,3,1
4,2.253876049,0.285714286,65,0.676923077,1,4,1
0,2.913982355,0.583333333,88,0.641504329,1,0,1
2,3.080222721,0.25,264,0.724837662,1,2,1
1,0,0,55,0,0.125,1,1
14,7.917983711,0.62962963,480,1.986158286,1,14,1
10,3.399932658,0.380952381,180,0.765909091,1,10,1
8,3.438019879,0.347826087,220,0.786111111,1,8,1
2,0,0,120,0,0.2,2,1
8,3.419082878,0.32,216,0.774242424,1,8,1
10,4.784441718,0.4,264,1.218686869,1,10,1
1,0,0,144,0,0.25,1,1
1,0,0,85,0,0.166666667,1,1
2,1.96401739,0.666666667,25,0.525,1,2,1
0,1.223936028,0.06,660,0.258741259,0.5,0,1
0,0,0,240,0,0.125,0,1
0,0,0,48,0,0.125,0,1
1,0,0,48,0,0.333333333,1,1
4,1.391137574,0.4,12,0.458333333,1,4,1
3,1.631586747,0.222222222,24,0.583333333,1,3,1
