CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
16,3.254659455,0.777777778,64,0.816666667,1,16,1
16,3.254659455,0.777777778,64,0.816666667,1,16,1
16,3.254659455,0.777777778,64,0.816666667,1,16,1
2,0.310667467,0.071428571,44,0.04,0.5,2,1
0,2.164042561,0.6,16,0.75,1,0,1
3,2.164042561,0.6,16,0.75,1,3,1
3,2.164042561,0.6,16,0.75,1,3,1
3,0.72134752,0.25,21,0.125,1,3,1
7,3.503355493,0.352941176,112,1.0625,1,7,1
0,1.442695041,0.333333333,4,0.5,1,0,1
0,1.391137574,0.5,9,0.458333333,1,0,1
2,1.391137574,0.5,9,0.458333333,1,2,1
5,2.485339738,0.666666667,25,0.8,1,5,1
7,2.485339738,0.666666667,25,0.8,1,7,1
7,2.485339738,0.666666667,25,0.8,1,7,1
5,2.485339738,0.666666667,25,0.8,1,5,1
5,2.485339738,0.666666667,25,0.8,1,5,1
2,0.558110627,0.083333333,22,0.166666667,1,2,1
4,1.442695041,0.333333333,4,0.5,1,4,1
5,2.485339738,0.666666667,25,0.8,1,5,1
5,2.485339738,0.666666667,25,0.8,1,5,1
6,2.485339738,0.666666667,25,0.8,1,6,1
5,2.485339738,0.666666667,25,0.8,1,5,1
0,3.640956907,0.8,81,0.888888889,1,0,1
7,2.485339738,0.666666667,25,0.8,1,7,1
0,3.083390054,0.24,168,0.857142857,1,0,1
0,3.366288429,0.777777778,64,0.875,1,0,1
3,1.424137569,0.25,21,0.476190476,1,3,1
3,1.027796685,0.333333333,15,0.285714286,0.5,3,1
8,4.02327512,0.8,81,1.095238095,1,8,1
8,4.02327512,0.8,81,1.095238095,1,8,1
0,4.02327512,0.8,81,1.095238095,1,0,1
0,4.02327512,0.8,81,1.095238095,1,0,1
2,0.318928989,0.04,160,0.043478261,0.5,2,1
2,0.333808201,0.04,160,0.05,0.5,2,1
3,1.859727432,0.272727273,40,0.590909091,1,3,1
2,0.513898342,0.166666667,10,0.142857143,0.5,2,1
5,2.076712664,0.5,35,0.582539683,1,5,1
3,2.343468627,0.428571429,91,0.483477633,1,3,1
0,2.21944153,0.75,49,0.417543568,1,0,1
0,4.434509115,0.777777778,64,1.435714286,1,0,1
5,1.820478453,0.5,9,0.666666667,1,5,1
5,0.969017956,0.2,35,0.253968254,1,5,1
7,1.482916298,0.375,30,0.396825397,0.5,7,1
13,6.126296645,0.857142857,169,1.688888889,1,13,1
7,2.485339738,0.666666667,25,0.8,1,7,1
16,5.853501106,0.541666667,322,1.414285714,1,16,1
16,5.853501106,0.541666667,322,1.414285714,1,16,1
7,2.372630685,0.208333333,138,0.619480519,1,7,1
16,5.853501106,0.541666667,322,1.414285714,1,16,1
0,0.281266414,0.04,69,0.028571429,0.5,0,1
0,1.442695041,0.333333333,4,0.5,1,0,1
3,1.424137569,0.333333333,15,0.476190476,1,3,1
4,3.024611325,0.545454545,70,0.825396825,1,4,1
4,3.024611325,0.545454545,70,0.825396825,1,4,1
16,5.793506913,0.866666667,196,1.386335404,1,16,1
4,0.318928989,0.052631579,84,0.043478261,0.5,4,1
16,5.793506913,0.866666667,196,1.386335404,1,16,1
2,0.455119613,0.111111111,21,0.111111111,0.5,2,1
3,1.424137569,0.2,27,0.476190476,1,3,1
2,0.969017956,0.5,9,0.253968254,1,2,1
2,0.455119613,0.142857143,15,0.111111111,0.5,2,1
7,2.58539863,0.357142857,78,0.725490196,1,7,1
5,2.58539863,0.357142857,78,0.725490196,1,5,1
24,4.37089249,0.590909091,294,0.666666667,1,24,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
0,2.350202792,0.714285714,36,0.607226107,1,0,1
0,2.350202792,0.714285714,36,0.607226107,1,0,1
24,4.37089249,0.590909091,294,0.666666667,1,24,1
24,4.37089249,0.590909091,294,0.666666667,1,24,1
24,4.37089249,0.590909091,294,0.666666667,1,24,1
24,4.37089249,0.590909091,294,0.666666667,1,24,1
24,4.37089249,0.590909091,294,0.666666667,1,24,1
24,4.37089249,0.590909091,294,0.666666667,1,24,1
24,4.37089249,0.590909091,294,0.666666667,1,24,1
24,4.37089249,0.590909091,294,0.666666667,1,24,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
2,2.164042561,0.2,56,0.75,1,2,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
35,6.843190726,0.909090909,441,1.079365079,1,35,1
3,2.350202792,0.714285714,36,0.607226107,1,3,1
0,2.164042561,0.6,16,0.75,1,0,1
5,2.485339738,0.25,75,0.8,1,5,1
2,0.369269373,0.071428571,50,0.066666667,0.5,2,1
2,0.369269373,0.071428571,50,0.066666667,0.5,2,1
8,3.349901711,0.8,81,0.739379085,1,8,1
0,0.303413076,0.071428571,50,0.037037037,0.5,0,1
0,2.164042561,0.6,16,0.75,1,0,1
4,0.318928989,0.052631579,84,0.043478261,0.5,4,1
16,5.793506913,0.866666667,196,1.386335404,1,16,1
4,2.281037195,0.666666667,25,0.690909091,1,4,1
4,2.281037195,0.666666667,25,0.690909091,1,4,1
