id_author_1,id_author_2,CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
1885437,1886254,13,6.019595206,0.631578947,234,1.634992785,1,13,1
1885437,1890842,7,2.409185011,0.428571429,91,0.502453102,1,7,1
1885437,1918797,7,2.506050962,0.428571429,91,0.554401154,1,7,1
1885437,1952584,10,4.095509007,0.473684211,195,1.007215007,1,10,1
1885437,1989462,7,2.506050962,0.428571429,91,0.554401154,1,7,1
1885437,1991165,6,2.036364904,0.294117647,117,0.435353535,0.5,6,1
1885457,1886148,11,4.812988498,0.526315789,198,1.254340104,1,11,1
1885457,1886254,13,4.812988498,0.526315789,198,1.254340104,1,13,1
1885457,1890842,9,2.382023865,0.5,77,0.488467088,1,9,1
1885457,1918797,7,2.478889816,0.5,77,0.54041514,1,7,1
1885457,1952584,10,4.068347861,0.529411765,165,0.993228993,1,10,1
1885457,1989462,7,2.478889816,0.5,77,0.54041514,1,7,1
1885457,1991165,5,1.478254277,0.25,99,0.268686869,0.5,5,1
1885472,1886094,8,2.164042561,0.6,16,0.75,1,8,1
1885472,1901567,8,2.164042561,0.6,16,0.75,1,8,1
1885475,1886113,5,1.531574161,0.111111111,51,0.533333333,1,5,1
1885625,1968874,0,2.204466563,0.222222222,85,0.65,1,0,1
1885625,1976313,7,3.956842393,0.388888889,136,1.191666667,1,7,1
1885625,1976878,0,2.298299286,0.222222222,85,0.7,1,0,1
1885625,1976881,8,5.087051618,0.5,170,1.533333333,1,8,1
1885625,1987731,7,2.204466563,0.222222222,85,0.65,1,7,1
1885625,1987736,7,2.204466563,0.222222222,85,0.65,1,7,1
1885634,1886199,3,1.820478453,0.095238095,132,0.666666667,1,3,1
1885634,1893851,3,1.327271618,0.153846154,36,0.424242424,1,3,1
1885704,1915831,3,1.242669869,0.5,9,0.4,1,3,1
1885731,1969178,6,1.980541431,0.666666667,25,0.533333333,1,6,1
1885734,1885761,2,1.442695041,0.333333333,4,0.5,1,2,1
1885738,1885789,14,5.635287056,0.882352941,256,1.052941765,1,14,1
1885738,1895827,0,5.643004693,0.833333333,272,1.056618236,1,0,1
1885738,1918799,0,5.635287056,0.882352941,256,1.052941765,1,0,1
1885738,1933844,12,4.759488417,0.764705882,224,0.849568749,1,12,1
1885738,1992066,18,4.369617172,0.705882353,208,0.772645672,1,18,1
1885738,1992071,9,3.583315407,0.588235294,176,0.615069915,1,9,1
1885772,1885964,3,6.020415138,0.56,360,1.375980392,1,3,1
1885772,1917955,0,3.031401507,0.28,192,0.7,1,0,1
1885784,1974749,7,3.366288429,0.777777778,64,0.875,1,7,1
1885784,1974764,12,3.366288429,0.777777778,64,0.875,1,12,1
1885789,1895827,0,5.643004693,0.833333333,272,1.056618236,1,0,1
1885789,1918799,0,5.635287056,0.882352941,256,1.052941765,1,0,1
1885789,1933844,12,4.759488417,0.764705882,224,0.849568749,1,12,1
1885789,1992066,11,4.369617172,0.705882353,208,0.772645672,1,11,1
1885789,1992071,9,3.583315407,0.588235294,176,0.615069915,1,9,1
1885878,1886364,16,4.109279517,0.75,110,1.008441558,1,16,1
1885878,1910439,16,4.109279517,0.75,110,1.008441558,1,16,1
1885878,1916713,16,4.109279517,0.75,110,1.008441558,1,16,1
1885878,1917795,10,4.092017426,0.818181818,100,0.999350649,1,10,1
1885878,1957900,13,3.017616876,0.636363636,80,0.688636364,1,13,1
1885964,1917955,0,2.976790114,0.4375,120,0.675,1,0,1
1885979,1886466,6,2.064029975,0.5,20,0.7,1,6,1
1885979,1887476,6,3.606737602,0.666666667,25,1.25,1,6,1
1827760,1862640,4,2.164042561,0.6,16,0.75,1,4,-1
1827761,1845581,4,2.164042561,0.6,16,0.75,1,4,-1
1827761,1846844,4,2.164042561,0.6,16,0.75,1,4,-1
1827761,1862640,4,2.164042561,0.6,16,0.75,1,4,-1
1827943,1828058,0,1.820478453,0.25,21,0.666666667,1,0,-1
1827943,1845249,0,1.631586747,0.2,35,0.583333333,1,0,-1
1827943,1894622,0,0,0,7,0,1,0,-1
1827943,1903083,0,1.342682455,0.25,21,0.45,1,0,-1
1827943,1910319,1,1.342682455,0.285714286,14,0.45,0.5,1,-1
1827943,1975616,2,1.820478453,0.25,21,0.666666667,1,2,-1
1827943,1976985,2,1.820478453,0.25,21,0.666666667,1,2,-1
1827943,1987059,0,1.531574161,0.222222222,28,0.533333333,1,0,-1
1827943,1987950,1,0.621334935,0.142857143,7,0.2,0.5,1,-1
1827958,1830758,0,1.820478453,0.5,9,0.666666667,1,0,-1
1827958,1849486,0,1.820478453,0.5,9,0.666666667,1,0,-1
1827958,1965523,0,1.820478453,0.5,9,0.666666667,1,0,-1
1828058,1845249,0,0.513898342,0.142857143,15,0.142857143,0.5,0,-1
1828058,1894622,0,0.513898342,0.333333333,3,0.142857143,0.5,0,-1
1828058,1903083,0,0.513898342,0.2,9,0.142857143,0.5,0,-1
1828058,1975616,0,1.424137569,0.5,9,0.476190476,1,0,-1
1828058,1976985,0,1.424137569,0.5,9,0.476190476,1,0,-1
1828058,1987059,0,0.513898342,0.166666667,12,0.142857143,0.5,0,-1
1828079,1828081,7,2.485339738,0.666666667,25,0.8,1,7,-1
1828079,1974479,7,2.485339738,0.666666667,25,0.8,1,7,-1
1828079,1974499,5,2.485339738,0.666666667,25,0.8,1,5,-1
1828079,1980592,5,2.485339738,0.666666667,25,0.8,1,5,-1
1828079,1987282,5,2.485339738,0.666666667,25,0.8,1,5,-1
1828080,1852633,0,0.961796694,0.285714286,20,0.25,0.5,0,-1
1828080,1881733,4,1.923593388,0.333333333,32,0.625,1,4,-1
1828080,1882340,3,0.961796694,0.285714286,20,0.25,0.5,3,-1
1828080,1974520,3,0.961796694,0.285714286,20,0.25,0.5,3,-1
1828080,1975960,6,1.683144214,0.6,16,0.5,1,6,-1
1828080,1980717,4,1.923593388,0.333333333,32,0.625,1,4,-1
1828080,1981926,3,0.961796694,0.285714286,20,0.25,0.5,3,-1
1828080,1988706,6,1.683144214,0.6,16,0.5,1,6,-1
1828081,1974479,7,2.485339738,0.666666667,25,0.8,1,7,-1
1828081,1974499,5,2.485339738,0.666666667,25,0.8,1,5,-1
1828081,1980592,5,2.485339738,0.666666667,25,0.8,1,5,-1
1828081,1987282,5,2.485339738,0.666666667,25,0.8,1,5,-1
1828090,1965123,0,1.820478453,0.5,9,0.666666667,1,0,-1
1828090,1965127,0,1.820478453,0.5,9,0.666666667,1,0,-1
1828090,1982661,0,1.820478453,0.5,9,0.666666667,1,0,-1
1828156,1889888,1,2.164042561,0.6,16,0.75,1,1,-1
1828156,1906288,0,2.164042561,0.6,16,0.75,1,0,-1
1828156,1957374,0,2.164042561,0.6,16,0.75,1,0,-1
1828156,1982683,0,2.164042561,0.6,16,0.75,1,0,-1
1828240,1970020,10,3.083390054,0.5,77,0.857142857,1,10,-1
1828240,1970404,0,2.986524103,0.75,49,0.805194805,1,0,-1
1828240,1971498,6,2.986524103,0.75,49,0.805194805,1,6,-1
1828240,1972902,4,0.417032391,0.1,28,0.090909091,0.5,4,-1
1828240,1973948,2,0.417032391,0.1,28,0.090909091,0.5,2,-1
1828240,1973959,4,0.417032391,0.1,28,0.090909091,0.5,4,-1
1828240,1974468,10,2.986524103,0.75,49,0.805194805,1,10,-1
1828240,1977744,10,2.986524103,0.75,49,0.805194805,1,10,-1
1828240,1977751,6,2.986524103,0.75,49,0.805194805,1,6,-1
1828240,1981194,0,0.417032391,0.1,28,0.090909091,0.5,0,-1
1828240,1994460,10,2.986524103,0.75,49,0.805194805,1,10,-1
1828311,1882662,3,1.820478453,0.5,9,0.666666667,1,3,-1
1828311,1961320,0,1.820478453,0.5,9,0.666666667,1,0,-1
1828311,1962557,2,1.820478453,0.5,9,0.666666667,1,2,-1
1828365,1908356,0,0.378923182,0.052631579,91,0.071428571,0.5,0,-1
1828365,1922905,8,2.948414894,0.75,49,0.785714286,1,8,-1
1828365,1952780,0,0.378923182,0.041666667,126,0.071428571,0.5,0,-1
1828365,1969088,8,2.948414894,0.75,49,0.785714286,1,8,-1
1828365,1971451,5,3.083390054,0.4,98,0.857142857,1,5,-1
1828365,1971458,0,2.948414894,0.75,49,0.785714286,1,0,-1
1828365,1972220,2,0.378923182,0.076923077,49,0.071428571,0.5,2,-1
1828365,1973905,0,0.378923182,0.076923077,49,0.071428571,0.5,0,-1
1828365,1973913,2,0.378923182,0.076923077,49,0.071428571,0.5,2,-1
1828365,1974042,8,2.948414894,0.75,49,0.785714286,1,8,-1
1828365,1974951,2,0.378923182,0.076923077,49,0.071428571,0.5,2,-1
1828365,1975207,5,2.948414894,0.75,49,0.785714286,1,5,-1
1828365,1988942,0,0.378923182,0.076923077,49,0.071428571,0.5,0,-1
