id_author_1,id_author_2,CommonNeighbor,AdamicAdar,JaccardCoefficient,PreferentialAttachment,ResourceAllocation,ShortestPath,CommonCountry,Label
1828693,1861570,3,2.885390082,0.333333333,15,1,1,3,1
1829493,1895085,4,1.669540345,0.6,16,0.492857143,1,4,1
1830448,1830462,8,10.06260602,0.689655172,588,2.73969364,1,8,1
1830448,1887093,0,2.026248221,0.137931034,140,0.558730159,1,0,1
1830453,1862637,9,2.485339738,0.666666667,25,0.8,1,9,1
1830462,1887093,0,1.997891111,0.181818182,105,0.546825397,1,0,1
1831242,1832783,0,1.2795086,0.4,12,0.4,1,0,1
1831242,1911910,0,1.090616894,0.5,9,0.316666667,1,0,1
1832380,1973568,2,1.442695041,0.142857143,12,0.5,1,2,1
1832783,1911910,1,1.2795086,0.4,12,0.4,1,1,1
1834216,1917160,8,6.301494699,0.705882353,208,1.7875,1,8,1
1834216,1954654,15,8.194696988,0.882352941,256,2.401923077,1,15,1
1834446,1884110,8,2.974269202,0.571428571,30,1.033333333,1,8,1
1834446,1884428,8,2.974269202,0.571428571,30,1.033333333,1,8,1
1834446,1899817,6,1.96401739,0.428571429,24,0.65,1,6,1
1834521,1892687,0,4.515750568,0.5,170,1.225,1,0,1
1834521,1904635,0,4.515750568,0.5,170,1.225,1,0,1
1834521,1912906,0,4.515750568,0.5,170,1.225,1,0,1
1834868,1983064,1,1.820478453,0.5,9,0.666666667,1,1,1
1837183,1886022,3,1.803368801,0.2,77,0.5625,1,3,1
1837183,1886326,3,1.859727432,0.15,112,0.590909091,1,3,1
1837183,1901918,0,1.499053672,0.375,28,0.403409091,1,0,1
1838024,1883815,2,1.442695041,0.083333333,22,0.5,1,2,1
1838024,1968625,2,1.442695041,0.083333333,22,0.5,1,2,1
1838392,1899052,8,3.083390054,0.75,49,0.857142857,1,8,1
1838392,1923067,8,3.083390054,0.75,49,0.857142857,1,8,1
1838889,1872845,4,1.442695041,0.333333333,4,0.5,1,4,1
1839858,1841023,0,2.649474898,0.714285714,36,0.757575758,1,0,1
1839858,1968488,0,0.417032391,0.125,18,0.090909091,0.5,0,1
1839858,1969861,0,2.649474898,0.714285714,36,0.757575758,1,0,1
1839858,1988848,0,2.649474898,0.714285714,36,0.757575758,1,0,1
1840901,1857853,0,3.984521015,0.454545455,60,1.416666667,1,0,1
1840959,1908954,5,2.164042561,0.6,16,0.75,1,5,1
1841023,1968488,2,0.417032391,0.125,18,0.090909091,0.5,2,1
1841023,1969861,4,2.649474898,0.714285714,36,0.757575758,1,4,1
1841023,1988848,4,2.649474898,0.714285714,36,0.757575758,1,4,1
1841450,1855968,7,3.083390054,0.75,49,0.857142857,1,7,1
1841450,1980880,8,3.083390054,0.75,49,0.857142857,1,8,1
1841450,1982579,7,3.083390054,0.75,49,0.857142857,1,7,1
1841963,1849832,2,2.485339738,0.666666667,25,0.8,1,2,1
1841963,1966884,0,2.485339738,0.666666667,25,0.8,1,0,1
1841963,1984156,0,2.485339738,0.666666667,25,0.8,1,0,1
1842079,1867354,11,5.435494041,0.321428571,270,1.708333333,1,11,1
1842079,1918751,8,3.815313729,0.636363636,80,1.12037037,1,8,1
1842079,1928134,6,2.948353984,0.454545455,60,0.912037037,1,6,1
1843082,1846842,1,1.820478453,0.1,57,0.666666667,1,1,1
1843490,1843497,2,0.72134752,0.083333333,22,0.25,1,2,1
1843490,1884434,3,3.263173494,0.25,44,1.166666667,1,3,1
1843490,1965562,0,0,0,11,0,1,0,1
1843497,1884434,3,0.417032391,0.2,8,0.090909091,1,3,1
1845249,1987950,0,0,0,5,0,1,0,1
1846401,1846409,0,2.319124417,0.5,35,0.711111111,1,0,1
1846401,1889792,0,2.377903146,0.4,45,0.742857143,1,0,1
1846401,1965023,0,2.211687825,0.666666667,25,0.653968254,1,0,1
1846401,1968318,2,2.211687825,0.666666667,25,0.653968254,1,2,1
1846401,1971106,3,2.211687825,0.666666667,25,0.653968254,1,3,1
1846401,1982131,1,0.513898342,0.166666667,10,0.142857143,0.5,1,1
1846409,1889792,0,2.485339738,0.333333333,63,0.8,1,0,1
1846409,1965023,0,2.319124417,0.5,35,0.711111111,1,0,1
1846409,1968318,0,2.319124417,0.5,35,0.711111111,1,0,1
1846409,1971106,0,2.319124417,0.5,35,0.711111111,1,0,1
1846409,1982131,0,1.442695041,0.125,14,0.5,1,0,1
1847840,1847845,13,5.60754327,0.8,81,1.916666667,1,13,1
1847840,1847850,4,1.73457776,0.3,36,0.527777778,1,4,1
1847840,1987885,10,3.340509695,0.5,54,1.111111111,1,10,1
1847845,1847850,4,1.73457776,0.3,36,0.527777778,1,4,1
1847845,1987885,10,3.340509695,0.5,54,1.111111111,1,10,1
1847850,1987885,4,1.631586747,0.428571429,24,0.472222222,1,4,1
1849832,1966884,0,2.485339738,0.666666667,25,0.8,1,0,1
1849832,1984156,0,2.485339738,0.666666667,25,0.8,1,0,1
1853942,1884349,2,3.495637857,0.428571429,100,1.058823529,1,2,1
1853942,1884369,2,0.787250606,0.181818182,30,0.158823529,1,2,1
1854489,1902056,3,1.956593383,0.095238095,60,0.642857143,1,3,1
1854489,1913934,3,0.910239227,0.047619048,40,0.333333333,1,3,1
1854489,1984126,2,0.910239227,0.047619048,40,0.333333333,1,2,1
1855968,1980880,7,3.083390054,0.75,49,0.857142857,1,7,1
1855968,1982579,7,3.083390054,0.75,49,0.857142857,1,7,1
1856562,1897582,0,2.541825974,0.6,16,0.916666667,1,0,1
1856562,1909895,0,2.541825974,0.6,16,0.916666667,1,0,1
1859738,1892003,0,2.067058856,0.222222222,85,0.577777778,1,0,1
1859738,1974469,3,2.067058856,0.222222222,85,0.577777778,1,3,1
1859738,1974484,3,2.319124417,0.142857143,255,0.711111111,1,3,1
1859738,1992317,3,2.067058856,0.222222222,85,0.577777778,1,3,1
1863904,1884620,4,2.164042561,0.25,44,0.75,1,4,1
1863904,1969911,4,2.164042561,0.25,44,0.75,1,4,1
1867354,1918751,8,3.946195135,0.25,216,1.183333333,1,8,1
1867354,1928134,6,3.07923539,0.178571429,162,0.975,1,6,1
1867354,1967021,3,1.820478453,0.071428571,81,0.666666667,1,3,1
1867354,1989588,3,1.820478453,0.071428571,81,0.666666667,1,3,1
1874245,1909421,8,2.68536491,0.666666667,25,0.9,1,8,1
1874245,1982493,8,2.68536491,0.666666667,25,0.9,1,8,1
1875487,1908237,1,0,0,11,0,1,1,1
1879158,1883639,0,3.287819686,0.384615385,72,1.083333333,1,0,1
1879158,1954322,3,3.287819686,0.384615385,72,1.083333333,1,3,1
1881783,1881817,2,1.442695041,0.333333333,4,0.5,1,2,1
1881890,1882851,6,2.377903146,0.5,35,0.742857143,1,6,1
1881890,1884259,5,1.027796685,0.333333333,15,0.285714286,0.5,5,1
1881950,1883571,0,0,0,5,0,1,0,1
1882136,1911817,7,2.485339738,0.4,45,0.8,1,7,1
1882136,1976345,1,0.558110627,0.1,18,0.166666667,1,1,1
1882136,1988594,7,2.485339738,0.4,45,0.8,1,7,1
1882297,1918793,8,2.713340853,0.555555556,48,0.791666667,1,8,1
1882297,1943679,8,2.713340853,0.555555556,48,0.791666667,1,8,1
1882297,1971678,8,2.636128574,0.714285714,36,0.75,1,8,1
1882297,1973235,5,2.636128574,0.714285714,36,0.75,1,5,1
1882337,1883385,6,4.849407471,0.384615385,77,1.65,1,6,1
1882356,1882385,6,1.820478453,0.25,24,0.666666667,1,6,1
1882356,1938584,2,0,0,6,0,1,2,1
1882356,1973726,0,1.442695041,0.142857143,12,0.5,1,0,1
1882421,1883378,10,2.593116266,0.416666667,66,0.729166667,1,10,1
1882421,1883694,6,2.452038031,0.714285714,36,0.653409091,1,6,1
1882421,1883729,10,2.452038031,0.714285714,36,0.653409091,1,10,1
1882421,1884143,6,2.649474898,0.294117647,96,0.757575758,1,6,1
1882421,1885177,10,2.452038031,0.714285714,36,0.653409091,1,10,1
1882434,1985979,4,2.164042561,0.428571429,24,0.75,1,4,1
1882518,1883549,0,1.442695041,0.333333333,4,0.5,1,0,1
1882569,1935779,0,1.820478453,0.133333333,42,0.666666667,1,0,1
1882569,1938806,0,1.820478453,0.133333333,42,0.666666667,1,0,1
1882851,1884259,5,1.424137569,0.25,21,0.476190476,1,5,1
1882915,1885812,6,1.391137574,0.125,45,0.458333333,1,6,1
1882915,1893792,2,2.164042561,0.1875,60,0.75,1,2,1
1882942,1883265,0,1.442695041,0.333333333,4,0.5,1,0,1
1883004,1883818,6,2.164042561,0.6,16,0.75,1,6,1
1883004,1900253,4,2.164042561,0.6,16,0.75,1,4,1
